item_id,warehouse,planning_method,reorder_point,reorder_qty,safety_stock,lead_time_days,abc_class,last_reviewed
P-20042,MAIN,Min/Max,20,97,6,14,C,2025-10-13
P-20044,MAIN,Min/Max,3,194,1,38,B,2026-01-09
P-20045,MAIN,Min/Max,52,82,17,17,C,2026-03-27
P-20046,MAIN,Min/Max,55,109,18,43,C,2025-06-13
P-20047,MAIN,Min/Max,17,175,5,39,A,2026-03-04
P-20048,MAIN,Min/Max,21,88,7,21,C,2025-07-19
P-20049,MAIN,Min/Max,10,97,3,8,A,2024-07-18
P-20050,MAIN,ROP,36,177,12,6,A,2026-03-11
P-20051,MAIN,Min/Max,28,129,9,26,A,2025-02-25
P-20052,MAIN,ROP,28,62,9,17,C,2025-10-01
P-20054,MAIN,Min/Max,20,191,6,38,C,2025-03-06
P-20055,MAIN,MRP,52,93,17,17,B,2025-07-17
P-20056,MAIN,Min/Max,51,112,17,44,B,2026-02-18
P-20059,MAIN,Min/Max,45,197,15,25,A,2025-10-14
P-20060,MAIN,ROP,9,123,3,16,A,2024-09-19
P-20062,MAIN,Min/Max,47,197,15,15,B,2025-02-16
P-20064,MAIN,Min/Max,58,42,19,14,B,2025-04-04
P-20066,MAIN,MRP,4,167,1,5,C,2025-02-26
P-20067,MAIN,MRP,27,146,9,16,C,2024-06-08
P-20068,MAIN,MRP,38,111,12,26,A,2025-08-06
P-20069,MAIN,MRP,53,73,17,32,A,2025-06-22
P-20074,MAIN,ROP,17,163,5,39,C,2024-12-29
P-20075,MAIN,ROP,7,72,2,19,A,2025-06-02
P-20079,MAIN,MRP,9,66,3,7,B,2025-04-30
P-20080,MAIN,MRP,25,20,8,28,B,2025-05-05
P-20081,MAIN,Min/Max,48,126,16,30,B,2026-02-04
P-20083,MAIN,Min/Max,2,137,0,16,B,2024-06-25
P-20084,MAIN,Min/Max,55,164,18,34,C,2025-12-12
P-20085,MAIN,MRP,15,198,5,14,C,2026-02-10
P-20086,MAIN,ROP,60,19,20,34,B,2025-09-15
P-20088,MAIN,Min/Max,29,46,9,32,B,2025-10-10
P-20089,MAIN,MRP,9,143,3,30,C,2026-01-14
P-20091,MAIN,Min/Max,4,112,1,21,C,2025-06-24
P-20095,MAIN,MRP,20,160,6,33,B,2026-01-12
P-20096,MAIN,Min/Max,28,171,9,20,C,2024-07-23
P-20098,MAIN,ROP,58,30,19,29,A,2024-11-26
P-20099,MAIN,ROP,34,19,11,37,B,2025-11-09
P-20100,MAIN,MRP,43,157,14,15,B,2024-08-21
P-20103,MAIN,MRP,6,116,2,30,B,2025-06-01
P-20104,MAIN,Min/Max,15,157,5,29,A,2026-03-16
P-20105,MAIN,Min/Max,22,185,7,43,C,2024-08-22
P-20106,MAIN,ROP,38,84,12,39,C,2024-12-12
P-20108,MAIN,MRP,3,74,1,11,B,2025-12-05
P-20109,MAIN,ROP,9,149,3,24,B,2025-04-21
P-20111,MAIN,ROP,40,197,13,17,B,2024-07-15
P-20112,MAIN,ROP,31,161,10,42,B,2024-12-12
P-20113,MAIN,Min/Max,40,162,13,35,B,2024-08-17
P-20116,MAIN,ROP,5,115,1,36,C,2024-10-19
P-20117,MAIN,Min/Max,22,79,7,15,B,2025-10-04
P-20118,MAIN,Min/Max,51,16,17,6,C,2024-11-06
P-20119,MAIN,MRP,54,13,18,42,B,2024-09-16
