bol_number,shipment_id,carrier,ship_date,shipper,consignee,nmfc_class,pallets,weight_lb,freight_terms,hazmat,signed
BOL-SH-50047,SH-50047,FedEx Ground,2025-05-28,"Northfield Industrial Components, Inc.",Rock River Plastics LLC - Plant 10,50,1,257.5,Collect,N,Y
BOL-SH-50048,SH-50048,LTL - Estes,2025-05-12,"Northfield Industrial Components, Inc.",Susquehanna Water Authority LLC - Plant 2,60,1,503.2,Prepaid & Add,N,Y
BOL-SH-50049,SH-50049,Customer Pickup,2026-03-06,"Northfield Industrial Components, Inc.","Cardinal Foods Group - Plant 07 - Rochelle, IL",70,1,260.0,Collect,N,Y
BOL-SH-50052,SH-50052,Customer Pickup,2025-12-17,"Northfield Industrial Components, Inc.",Keystone Chemical Corp. - Plant 5,85,1,798.2,Prepaid,N,Y
BOL-SH-50053,SH-50053,Customer Pickup,2025-05-03,"Northfield Industrial Components, Inc.","Cardinal Foods Group - Plant 07 - Rochelle, IL",50,1,204.0,Prepaid & Add,N,Y
BOL-SH-50054,SH-50054,LTL - Estes,2025-09-30,"Northfield Industrial Components, Inc.",Rock River Steel Inc. - Plant 8,60,1,470.1,Collect,N,Y
BOL-SH-50055,SH-50055,Customer Pickup,2025-07-25,"Northfield Industrial Components, Inc.",Fox River Paper LP - Plant 7,50,1,692.5,Collect,N,Y
BOL-SH-50056,SH-50056,Company Truck,2025-12-08,"Northfield Industrial Components, Inc.",Cumberland Materials LP - Plant 12,70,1,260.1,Prepaid & Add,N,Y
BOL-SH-50057,SH-50057,Company Truck,2026-02-11,"Northfield Industrial Components, Inc.",Prairie Climate LLC - Plant 7,50,1,668.9,Prepaid,N,Y
BOL-SH-50058,SH-50058,Customer Pickup,2025-04-28,"Northfield Industrial Components, Inc.",Fox River Paper LP - Plant 7,85,2,923.9,Collect,N,Y
BOL-SH-50059,SH-50059,Customer Pickup,2026-03-25,"Northfield Industrial Components, Inc.","Cardinal Foods Group - Plant 07 - Rochelle, IL",70,1,314.6,Prepaid,N,Y
BOL-SH-50062,SH-50062,Company Truck,2025-08-02,"Northfield Industrial Components, Inc.",Cumberland Materials LP - Plant 12,50,1,661.8,Collect,N,Y
BOL-SH-50063,SH-50063,UPS Ground,2025-10-01,"Northfield Industrial Components, Inc.",Rock River Plastics Inc. - Plant 8,60,1,206.7,Prepaid & Add,N,Y
BOL-SH-50064,SH-50064,LTL - XPO,2026-01-29,"Northfield Industrial Components, Inc.",Rock River Water Authority Corp. - Plant 2,50,1,304.0,Collect,N,Y
BOL-SH-50065,SH-50065,UPS Ground,2025-09-28,"Northfield Industrial Components, Inc.",Riverbend Conveyor LP - Plant 7,50,1,203.7,Prepaid & Add,N,Y
BOL-SH-50067,SH-50067,Company Truck,2025-11-13,"Northfield Industrial Components, Inc.",Iron City Chemical Inc. - Plant 9,55,1,253.6,Collect,N,Y
BOL-SH-50068,SH-50068,LTL - XPO,2026-01-04,"Northfield Industrial Components, Inc.",Midwest Climate Corp. - Plant 12,70,1,387.3,Collect,N,Y
BOL-SH-50069,SH-50069,LTL - XPO,2025-12-04,"Northfield Industrial Components, Inc.",Midwest Climate Corp. - Plant 12,50,1,235.3,Collect,N,Y
BOL-SH-50070,SH-50070,LTL - Estes,2025-04-30,"Northfield Industrial Components, Inc.",Rock River Steel Inc. - Plant 8,70,1,768.4,Prepaid,N,Y
BOL-SH-50071,SH-50071,UPS Ground,2026-01-10,"Northfield Industrial Components, Inc.",Cardinal Lumber LP - Plant 8,60,1,581.1,Prepaid,N,Y
BOL-SH-50072,SH-50072,UPS Ground,2026-03-23,"Northfield Industrial Components, Inc.",Riverbend Conveyor LP - Plant 7,70,1,305.5,Prepaid & Add,N,Y
BOL-SH-50073,SH-50073,UPS Ground,2025-05-26,"Northfield Industrial Components, Inc.",Iron City Conveyor Inc. - Plant 6,55,1,429.2,Prepaid & Add,N,Y
BOL-SH-50075,SH-50075,UPS Ground,2025-06-22,"Northfield Industrial Components, Inc.",Iron City Conveyor Inc. - Plant 6,85,1,344.0,Prepaid,N,Y
BOL-SH-50076,SH-50076,Company Truck,2025-12-04,"Northfield Industrial Components, Inc.",Summit Conveyor LLC - Plant 4,55,2,1053.9,Prepaid,N,Y
BOL-SH-50077,SH-50077,Customer Pickup,2025-10-23,"Northfield Industrial Components, Inc.",Blue Ridge Lumber LLC - Plant 11,55,1,307.8,Prepaid & Add,N,Y
BOL-SH-50078,SH-50078,LTL - XPO,2025-08-06,"Northfield Industrial Components, Inc.",Midwest Ag Equipment LP - Plant 8,50,1,257.6,Prepaid & Add,N,Y
BOL-SH-50079,SH-50079,UPS Ground,2026-03-09,"Northfield Industrial Components, Inc.",Iron City Conveyor Inc. - Plant 6,50,1,577.1,Prepaid,N,Y
BOL-SH-50080,SH-50080,Company Truck,2025-05-10,"Northfield Industrial Components, Inc.",Iron City Chemical Inc. - Plant 9,50,1,266.7,Prepaid & Add,N,Y
BOL-SH-50081,SH-50081,FedEx Ground,2025-06-25,"Northfield Industrial Components, Inc.",Rock River Plastics LLC - Plant 10,70,1,416.8,Collect,N,Y
BOL-SH-50082,SH-50082,Customer Pickup,2025-09-27,"Northfield Industrial Components, Inc.",Cardinal Poultry Inc. - Plant 1,85,1,332.9,Prepaid & Add,N,Y
BOL-SH-50083,SH-50083,Company Truck,2025-07-04,"Northfield Industrial Components, Inc.",Iron City Chemical Inc. - Plant 9,55,1,589.0,Prepaid,N,Y
BOL-SH-50084,SH-50084,LTL - Estes,2025-05-17,"Northfield Industrial Components, Inc.",Rock River Steel Inc. - Plant 8,55,1,284.9,Prepaid,N,Y
BOL-SH-50085,SH-50085,LTL - XPO,2026-03-11,"Northfield Industrial Components, Inc.",Pioneer Paper Co. - Plant 11,60,1,464.2,Prepaid & Add,N,Y
BOL-SH-50086,SH-50086,UPS Ground,2025-05-27,"Northfield Industrial Components, Inc.",Prairie Poultry Co. - Plant 7,85,1,260.0,Prepaid & Add,N,Y
BOL-SH-50088,SH-50088,FedEx Ground,2025-12-25,"Northfield Industrial Components, Inc.",Fox River Lumber LP - Plant 6,70,2,886.9,Prepaid & Add,N,Y
BOL-SH-50089,SH-50089,Customer Pickup,2025-10-31,"Northfield Industrial Components, Inc.",Blue Ridge Poultry Inc. - Plant 11,70,1,684.3,Prepaid,N,Y
BOL-SH-50092,SH-50092,Customer Pickup,2025-08-26,"Northfield Industrial Components, Inc.","Cardinal Foods Group - Plant 07 - Rochelle, IL",50,1,539.5,Prepaid & Add,N,Y
BOL-SH-50093,SH-50093,LTL - Estes,2025-07-03,"Northfield Industrial Components, Inc.",Great Lakes Automotive LLC - Plant 4,85,1,468.6,Prepaid & Add,N,Y
BOL-SH-50095,SH-50095,FedEx Ground,2025-05-08,"Northfield Industrial Components, Inc.",Cardinal Conveyor Corp. - Plant 3,50,2,880.2,Collect,N,Y
BOL-SH-50096,SH-50096,FedEx Ground,2025-05-16,"Northfield Industrial Components, Inc.",Fox River Lumber LP - Plant 6,70,1,440.9,Collect,N,Y
BOL-SH-50098,SH-50098,FedEx Ground,2025-12-17,"Northfield Industrial Components, Inc.",Rock River Plastics LLC - Plant 10,50,1,231.0,Prepaid & Add,N,Y
BOL-SH-50100,SH-50100,LTL - Estes,2025-09-29,"Northfield Industrial Components, Inc.",Lehigh Valley Paper LP - Plant 7,50,1,489.0,Prepaid & Add,N,Y
BOL-SH-50101,SH-50101,FedEx Ground,2025-04-27,"Northfield Industrial Components, Inc.",Allegheny Paper LP - Plant 5,70,1,636.4,Prepaid & Add,N,Y
BOL-SH-50102,SH-50102,Customer Pickup,2026-02-16,"Northfield Industrial Components, Inc.",Cardinal Poultry Inc. - Plant 1,50,2,850.0,Prepaid & Add,N,Y
BOL-SH-50103,SH-50103,Company Truck,2025-07-13,"Northfield Industrial Components, Inc.",Prairie Climate LLC - Plant 7,60,1,642.3,Prepaid,N,Y
BOL-SH-50104,SH-50104,Company Truck,2026-01-14,"Northfield Industrial Components, Inc.",Prairie Climate LLC - Plant 7,50,1,418.5,Prepaid & Add,N,Y
BOL-SH-50105,SH-50105,FedEx Ground,2025-08-05,"Northfield Industrial Components, Inc.",Allegheny Paper LP - Plant 5,70,2,888.0,Prepaid & Add,N,Y
BOL-SH-50106,SH-50106,LTL - XPO,2025-06-17,"Northfield Industrial Components, Inc.",Allegheny Climate Inc. - Plant 9,85,1,544.0,Collect,N,Y
BOL-SH-50108,SH-50108,FedEx Ground,2025-09-17,"Northfield Industrial Components, Inc.",Rock River Plastics LLC - Plant 10,70,1,197.8,Prepaid,N,Y
BOL-SH-50110,SH-50110,Customer Pickup,2025-09-16,"Northfield Industrial Components, Inc.",Allegheny Foods Co. - Plant 5,60,1,227.4,Collect,N,Y
BOL-SH-50111,SH-50111,UPS Ground,2025-11-20,"Northfield Industrial Components, Inc.",Iron City Conveyor Inc. - Plant 6,60,1,590.1,Prepaid & Add,N,Y
BOL-SH-50113,SH-50113,FedEx Ground,2025-12-08,"Northfield Industrial Components, Inc.",Allegheny Paper LP - Plant 5,50,1,501.3,Prepaid & Add,N,Y
BOL-SH-50114,SH-50114,Customer Pickup,2025-08-02,"Northfield Industrial Components, Inc.",Allegheny Foods Co. - Plant 5,50,1,334.3,Collect,N,Y
BOL-SH-50115,SH-50115,Customer Pickup,2026-02-07,"Northfield Industrial Components, Inc.",Blue Ridge Lumber LLC - Plant 11,50,1,611.9,Prepaid & Add,N,Y
BOL-SH-50116,SH-50116,Company Truck,2026-02-06,"Northfield Industrial Components, Inc.",Cumberland Materials LP - Plant 12,85,1,176.6,Prepaid & Add,N,Y
BOL-SH-50117,SH-50117,Customer Pickup,2026-02-12,"Northfield Industrial Components, Inc.",Allegheny Foods Co. - Plant 5,85,1,339.9,Collect,N,Y
BOL-SH-50118,SH-50118,LTL - Estes,2026-01-26,"Northfield Industrial Components, Inc.",Rock River Steel Inc. - Plant 8,85,1,281.8,Prepaid,N,Y
BOL-SH-50119,SH-50119,Company Truck,2025-12-21,"Northfield Industrial Components, Inc.",Iron City Chemical Inc. - Plant 9,70,1,178.4,Prepaid,N,Y
BOL-SH-50120,SH-50120,FedEx Ground,2025-08-17,"Northfield Industrial Components, Inc.",Cardinal Conveyor Corp. - Plant 3,85,2,1508.8,Prepaid,N,Y
BOL-SH-50121,SH-50121,Customer Pickup,2025-11-04,"Northfield Industrial Components, Inc.",Keystone Chemical Corp. - Plant 5,50,1,550.8,Prepaid & Add,N,Y
BOL-SH-50123,SH-50123,Customer Pickup,2025-08-04,"Northfield Industrial Components, Inc.",Blue Ridge Lumber LLC - Plant 11,55,1,467.8,Collect,N,Y
BOL-SH-50126,SH-50126,UPS Ground,2025-08-03,"Northfield Industrial Components, Inc.",Riverbend Conveyor LP - Plant 7,85,2,905.8,Collect,N,Y
BOL-SH-50127,SH-50127,LTL - Estes,2025-04-22,"Northfield Industrial Components, Inc.",Lehigh Valley Paper LP - Plant 7,50,1,162.6,Prepaid & Add,N,Y
BOL-SH-50128,SH-50128,Customer Pickup,2026-01-15,"Northfield Industrial Components, Inc.",Fox River Paper LP - Plant 7,60,1,264.3,Prepaid & Add,N,Y
BOL-SH-50129,SH-50129,LTL - XPO,2025-10-17,"Northfield Industrial Components, Inc.",Midwest Ag Equipment LP - Plant 8,55,1,458.2,Prepaid & Add,N,Y
BOL-SH-50130,SH-50130,UPS Ground,2025-06-28,"Northfield Industrial Components, Inc.",Riverbend Conveyor LP - Plant 7,70,1,234.5,Collect,N,Y
BOL-SH-50131,SH-50131,UPS Ground,2025-08-17,"Northfield Industrial Components, Inc.",Riverbend Conveyor LP - Plant 7,55,1,675.6,Collect,N,Y
BOL-SH-50132,SH-50132,FedEx Ground,2025-06-01,"Northfield Industrial Components, Inc.",Fox River Lumber LP - Plant 6,55,1,578.2,Collect,N,Y
BOL-SH-50134,SH-50134,LTL - Estes,2025-12-29,"Northfield Industrial Components, Inc.",Rock River Steel Inc. - Plant 8,70,1,304.2,Prepaid,N,Y
BOL-SH-50135,SH-50135,LTL - XPO,2025-10-02,"Northfield Industrial Components, Inc.",Rock River Water Authority Corp. - Plant 2,85,2,993.2,Prepaid & Add,N,Y
BOL-SH-50136,SH-50136,FedEx Ground,2025-09-15,"Northfield Industrial Components, Inc.",Cardinal Conveyor Corp. - Plant 3,70,1,289.7,Prepaid & Add,N,Y
BOL-SH-50137,SH-50137,Customer Pickup,2026-01-29,"Northfield Industrial Components, Inc.",Allegheny Foods Co. - Plant 5,85,1,740.2,Collect,N,Y
BOL-SH-50139,SH-50139,LTL - XPO,2025-08-04,"Northfield Industrial Components, Inc.",Riverbend Poultry LLC - Plant 12,55,1,194.5,Collect,N,Y
BOL-SH-50141,SH-50141,LTL - Estes,2025-08-17,"Northfield Industrial Components, Inc.",Lehigh Valley Paper LP - Plant 7,85,1,217.8,Prepaid & Add,N,Y
BOL-SH-50142,SH-50142,UPS Ground,2025-12-26,"Northfield Industrial Components, Inc.",Prairie Materials Co. - Plant 9,50,1,396.0,Prepaid,N,Y
BOL-SH-50143,SH-50143,LTL - Estes,2025-10-27,"Northfield Industrial Components, Inc.",Susquehanna Water Authority LLC - Plant 2,50,1,521.0,Prepaid & Add,N,Y
BOL-SH-50145,SH-50145,UPS Ground,2025-05-12,"Northfield Industrial Components, Inc.",Appalachian Lumber Corp. - Plant 6,60,1,296.4,Prepaid & Add,N,Y
BOL-SH-50146,SH-50146,LTL - XPO,2025-06-13,"Northfield Industrial Components, Inc.",Rock River Water Authority Corp. - Plant 2,55,1,636.3,Collect,N,Y
BOL-SH-50150,SH-50150,UPS Ground,2025-10-28,"Northfield Industrial Components, Inc.",Cardinal Lumber LP - Plant 8,50,1,478.7,Prepaid & Add,N,Y
BOL-SH-50151,SH-50151,FedEx Ground,2026-02-01,"Northfield Industrial Components, Inc.",Summit Foods Co. - Plant 12,60,1,465.5,Prepaid,N,Y
BOL-SH-50152,SH-50152,LTL - XPO,2025-07-26,"Northfield Industrial Components, Inc.",Midwest Ag Equipment LP - Plant 8,85,1,544.0,Prepaid,N,Y
BOL-SH-50153,SH-50153,UPS Ground,2026-03-25,"Northfield Industrial Components, Inc.",Iron City Conveyor Inc. - Plant 6,60,1,267.1,Collect,N,Y
BOL-SH-50154,SH-50154,Customer Pickup,2025-12-25,"Northfield Industrial Components, Inc.",Great Lakes Lumber LLC - Plant 2,50,2,812.8,Collect,N,Y
BOL-SH-50155,SH-50155,LTL - Estes,2025-08-01,"Northfield Industrial Components, Inc.",Rock River Steel Inc. - Plant 8,85,1,627.0,Prepaid,N,Y
BOL-SH-50156,SH-50156,LTL - Estes,2025-07-04,"Northfield Industrial Components, Inc.",Susquehanna Water Authority LLC - Plant 2,85,1,417.2,Prepaid,N,Y
BOL-SH-50157,SH-50157,FedEx Ground,2026-02-11,"Northfield Industrial Components, Inc.",Allegheny Paper LP - Plant 5,55,1,255.2,Prepaid & Add,N,Y
BOL-SH-50159,SH-50159,UPS Ground,2026-03-27,"Northfield Industrial Components, Inc.",Rock River Plastics Inc. - Plant 8,60,1,755.8,Prepaid & Add,N,Y
BOL-SH-50160,SH-50160,FedEx Ground,2025-09-28,"Northfield Industrial Components, Inc.",Cardinal Conveyor Corp. - Plant 3,85,1,383.5,Prepaid,N,Y
BOL-SH-50162,SH-50162,Company Truck,2025-09-01,"Northfield Industrial Components, Inc.",Iron City Chemical Inc. - Plant 9,50,1,498.6,Prepaid & Add,N,Y
BOL-SH-50163,SH-50163,Customer Pickup,2026-03-25,"Northfield Industrial Components, Inc.",Cardinal Poultry Inc. - Plant 1,60,1,359.4,Prepaid,N,Y
BOL-SH-50164,SH-50164,UPS Ground,2025-09-22,"Northfield Industrial Components, Inc.",Prairie Materials Co. - Plant 9,85,1,486.1,Collect,N,Y
BOL-SH-50165,SH-50165,FedEx Ground,2026-02-17,"Northfield Industrial Components, Inc.",Allegheny Paper LP - Plant 5,70,1,153.9,Collect,N,Y
BOL-SH-50166,SH-50166,Customer Pickup,2025-11-12,"Northfield Industrial Components, Inc.","Cardinal Foods Group - Plant 07 - Rochelle, IL",50,1,321.1,Collect,N,Y
BOL-SH-50167,SH-50167,UPS Ground,2025-07-28,"Northfield Industrial Components, Inc.",Pioneer Lumber Co. - Plant 1,55,2,820.1,Prepaid,N,Y
BOL-SH-50168,SH-50168,LTL - Estes,2025-09-30,"Northfield Industrial Components, Inc.",Rock River Steel Inc. - Plant 8,70,1,365.4,Collect,N,Y
BOL-SH-50169,SH-50169,Customer Pickup,2025-04-26,"Northfield Industrial Components, Inc.",Cardinal Poultry Inc. - Plant 1,60,1,180.6,Prepaid,N,Y
BOL-SH-50171,SH-50171,LTL - Estes,2025-10-14,"Northfield Industrial Components, Inc.",Great Lakes Automotive LLC - Plant 4,55,1,628.2,Prepaid & Add,N,Y
BOL-SH-50173,SH-50173,Customer Pickup,2025-08-01,"Northfield Industrial Components, Inc.",Fox River Paper LP - Plant 7,70,1,150.9,Prepaid & Add,N,Y
BOL-SH-50174,SH-50174,LTL - Estes,2026-02-12,"Northfield Industrial Components, Inc.",Lehigh Valley Paper LP - Plant 7,85,1,431.7,Prepaid & Add,N,Y
BOL-SH-50175,SH-50175,UPS Ground,2025-12-25,"Northfield Industrial Components, Inc.",Pioneer Lumber Co. - Plant 1,60,2,826.7,Prepaid,N,Y
BOL-SH-50176,SH-50176,Customer Pickup,2026-03-20,"Northfield Industrial Components, Inc.","Cardinal Foods Group - Plant 07 - Rochelle, IL",55,1,344.8,Prepaid & Add,N,Y
BOL-SH-50177,SH-50177,UPS Ground,2025-04-16,"Northfield Industrial Components, Inc.",Riverbend Conveyor LP - Plant 7,70,1,476.1,Prepaid,N,Y
BOL-SH-50179,SH-50179,Customer Pickup,2026-03-15,"Northfield Industrial Components, Inc.",Fox River Paper LP - Plant 7,60,1,452.6,Collect,N,Y
BOL-SH-50180,SH-50180,UPS Ground,2025-10-28,"Northfield Industrial Components, Inc.",Prairie Materials Co. - Plant 9,70,1,319.5,Collect,N,Y
BOL-SH-50182,SH-50182,LTL - Estes,2025-11-14,"Northfield Industrial Components, Inc.",Rock River Steel Inc. - Plant 8,50,1,192.4,Prepaid & Add,N,Y
BOL-SH-50183,SH-50183,UPS Ground,2025-12-13,"Northfield Industrial Components, Inc.",Prairie Materials Co. - Plant 9,60,1,283.6,Collect,N,Y
BOL-SH-50184,SH-50184,UPS Ground,2025-12-17,"Northfield Industrial Components, Inc.",Pioneer Lumber Co. - Plant 1,70,1,205.8,Collect,N,Y
BOL-SH-50186,SH-50186,FedEx Ground,2025-09-25,"Northfield Industrial Components, Inc.",Fox River Lumber LP - Plant 6,50,1,292.8,Prepaid & Add,N,Y
BOL-SH-50187,SH-50187,LTL - Estes,2025-08-21,"Northfield Industrial Components, Inc.",Susquehanna Water Authority LLC - Plant 2,55,1,727.0,Prepaid & Add,N,Y
BOL-SH-50188,SH-50188,FedEx Ground,2025-05-14,"Northfield Industrial Components, Inc.",Allegheny Paper LP - Plant 5,55,1,287.6,Prepaid,N,Y
BOL-SH-50189,SH-50189,Company Truck,2025-08-27,"Northfield Industrial Components, Inc.",Prairie Climate LLC - Plant 7,85,1,195.8,Collect,N,Y
BOL-SH-50190,SH-50190,Customer Pickup,2026-03-10,"Northfield Industrial Components, Inc.",Blue Ridge Poultry Inc. - Plant 11,60,1,403.4,Prepaid,N,Y
BOL-SH-50192,SH-50192,Company Truck,2025-12-15,"Northfield Industrial Components, Inc.",Prairie Climate LLC - Plant 7,85,1,180.4,Collect,N,Y
BOL-SH-50193,SH-50193,Company Truck,2025-07-15,"Northfield Industrial Components, Inc.",Prairie Climate LLC - Plant 7,55,1,498.0,Collect,N,Y
BOL-SH-50194,SH-50194,Customer Pickup,2025-06-16,"Northfield Industrial Components, Inc.",Great Lakes Lumber LLC - Plant 2,50,1,192.4,Prepaid,N,Y
BOL-SH-50197,SH-50197,Customer Pickup,2026-01-27,"Northfield Industrial Components, Inc.",Fox River Paper LP - Plant 7,55,1,233.4,Prepaid & Add,N,Y
BOL-SH-50198,SH-50198,Customer Pickup,2026-01-01,"Northfield Industrial Components, Inc.","Cardinal Foods Group - Plant 07 - Rochelle, IL",85,1,788.0,Prepaid & Add,N,Y
BOL-SH-50199,SH-50199,LTL - XPO,2025-06-20,"Northfield Industrial Components, Inc.",Allegheny Climate Inc. - Plant 9,55,1,721.1,Collect,N,Y
BOL-SH-50200,SH-50200,LTL - XPO,2025-11-20,"Northfield Industrial Components, Inc.",Allegheny Climate Inc. - Plant 9,50,1,394.1,Prepaid,N,Y
BOL-SH-50201,SH-50201,Customer Pickup,2025-09-15,"Northfield Industrial Components, Inc.",Blue Ridge Lumber LLC - Plant 11,85,1,794.0,Collect,N,Y
BOL-SH-50202,SH-50202,UPS Ground,2026-01-02,"Northfield Industrial Components, Inc.",Rock River Plastics Inc. - Plant 8,70,1,362.0,Collect,N,Y
BOL-SH-50203,SH-50203,LTL - XPO,2025-10-28,"Northfield Industrial Components, Inc.",Midwest Climate Corp. - Plant 12,85,1,268.5,Prepaid & Add,N,Y
BOL-SH-50204,SH-50204,FedEx Ground,2026-03-22,"Northfield Industrial Components, Inc.",Allegheny Paper LP - Plant 5,60,1,408.9,Collect,N,Y
