freight_invoice_id,carrier,shipment_id,invoice_date,quoted_amount,billed_amount,accessorials,audit_status
FI-00026,LTL - Estes,SH-50032,2025-07-14,440.9,458.54,,Approved
FI-00027,LTL - XPO,SH-50033,2025-05-23,143.33,157.66,Liftgate,Approved
FI-00028,LTL - Estes,SH-50034,2026-02-20,86.3,88.03,,Approved
FI-00029,LTL - XPO,SH-50035,2025-09-23,327.46,386.4,Liftgate,Pending
FI-00030,Customer Pickup,SH-50036,2026-01-18,132.62,159.14,Redelivery,Pending
FI-00031,Customer Pickup,SH-50038,2026-01-17,263.03,270.92,Residential,Disputed
FI-00032,FedEx Ground,SH-50039,2026-01-21,244.89,249.79,,Pending
FI-00033,Customer Pickup,SH-50040,2026-03-30,111.58,132.78,Liftgate,Pending
FI-00034,UPS Ground,SH-50041,2025-11-28,170.93,184.6,,Approved
FI-00035,LTL - Estes,SH-50042,2026-03-05,222.8,218.34,Liftgate,Approved
FI-00036,Company Truck,SH-50043,2025-07-19,232.12,262.3,Liftgate,Disputed
FI-00037,Customer Pickup,SH-50044,2025-06-29,305.03,332.48,,Disputed
FI-00038,Customer Pickup,SH-50046,2025-06-08,173.57,178.78,Liftgate,Approved
FI-00039,FedEx Ground,SH-50047,2025-06-02,120.15,134.57,Redelivery,Approved
FI-00040,LTL - Estes,SH-50048,2025-05-21,223.34,218.87,,Approved
FI-00041,Customer Pickup,SH-50049,2026-03-21,121.2,147.86,,Disputed
FI-00042,Customer Pickup,SH-50052,2025-12-30,347.24,402.8,Liftgate,Approved
FI-00043,Customer Pickup,SH-50053,2025-05-08,97.68,109.4,Reweigh,Approved
FI-00044,LTL - Estes,SH-50054,2025-10-17,209.44,215.72,,Approved
FI-00045,Customer Pickup,SH-50055,2025-08-13,302.85,299.82,Redelivery,Disputed
FI-00046,Company Truck,SH-50056,2025-12-24,121.24,124.88,Liftgate,Approved
FI-00047,Company Truck,SH-50057,2026-02-23,292.94,304.66,Residential,Disputed
FI-00048,Customer Pickup,SH-50058,2025-05-13,400.04,444.04,Liftgate,Pending
FI-00049,Customer Pickup,SH-50059,2026-04-03,144.13,141.25,Residential,Approved
FI-00050,Company Truck,SH-50062,2025-08-18,289.96,287.06,,Approved
FI-00051,UPS Ground,SH-50063,2025-10-07,98.81,109.68,,Disputed
FI-00052,LTL - XPO,SH-50064,2026-02-18,139.68,155.04,,Disputed
FI-00053,UPS Ground,SH-50065,2025-10-18,97.55,117.06,Residential,Approved
FI-00054,Company Truck,SH-50067,2025-11-24,118.51,117.32,,Disputed
FI-00055,LTL - XPO,SH-50068,2026-01-20,174.67,186.9,Residential,Disputed
FI-00056,LTL - XPO,SH-50069,2025-12-09,110.83,119.7,,Approved
FI-00057,LTL - Estes,SH-50070,2025-05-18,334.73,358.16,Reweigh,Disputed
FI-00058,UPS Ground,SH-50071,2026-01-25,256.06,302.15,Liftgate,Approved
FI-00059,UPS Ground,SH-50072,2026-03-29,140.31,144.52,,Pending
FI-00060,UPS Ground,SH-50073,2025-06-01,192.26,219.18,Redelivery,Approved
FI-00061,UPS Ground,SH-50075,2025-06-27,156.48,181.52,,Disputed
FI-00062,Company Truck,SH-50076,2025-12-16,454.64,509.2,,Approved
FI-00063,Customer Pickup,SH-50077,2025-11-02,141.28,138.45,Residential,Approved
FI-00064,LTL - XPO,SH-50078,2025-08-14,120.19,140.62,,Approved
FI-00065,UPS Ground,SH-50079,2026-03-21,254.38,307.8,Liftgate,Disputed
FI-00066,Company Truck,SH-50080,2025-05-29,124.01,148.81,,Approved
FI-00067,FedEx Ground,SH-50081,2025-07-14,187.06,196.41,Liftgate,Approved
FI-00068,Customer Pickup,SH-50082,2025-10-17,151.82,173.07,Residential,Pending
FI-00069,Company Truck,SH-50083,2025-07-24,259.38,290.51,,Approved
FI-00070,LTL - Estes,SH-50084,2025-06-03,131.66,144.83,,Approved
FI-00071,LTL - XPO,SH-50085,2026-03-20,206.96,213.17,Residential,Approved
FI-00072,UPS Ground,SH-50086,2025-06-06,121.2,134.53,Residential,Pending
FI-00073,FedEx Ground,SH-50088,2026-01-04,384.5,438.33,Liftgate,Approved
FI-00074,Customer Pickup,SH-50089,2025-11-19,299.41,311.39,Liftgate,Pending
FI-00075,Customer Pickup,SH-50092,2025-09-11,238.59,267.22,,Pending
FI-00076,LTL - Estes,SH-50093,2025-07-23,208.81,235.96,Liftgate,Disputed
FI-00077,FedEx Ground,SH-50095,2025-05-22,381.68,389.31,,Pending
FI-00078,FedEx Ground,SH-50096,2025-06-05,197.18,238.59,,Approved
FI-00079,FedEx Ground,SH-50098,2026-01-06,109.02,115.56,Residential,Disputed
FI-00080,LTL - Estes,SH-50100,2025-10-16,217.38,217.38,,Approved
FI-00081,FedEx Ground,SH-50101,2025-05-08,279.29,276.5,,Disputed
FI-00082,Customer Pickup,SH-50102,2026-02-21,369.0,416.97,,Disputed
FI-00083,Company Truck,SH-50103,2025-08-02,281.77,284.59,Redelivery,Pending
FI-00084,Company Truck,SH-50104,2026-01-30,187.77,214.06,Reweigh,Approved
FI-00085,FedEx Ground,SH-50105,2025-08-15,384.96,408.06,Reweigh,Pending
FI-00086,LTL - XPO,SH-50106,2025-07-06,240.48,276.55,Reweigh,Disputed
FI-00087,FedEx Ground,SH-50108,2025-09-23,95.08,94.13,Redelivery,Approved
FI-00088,Customer Pickup,SH-50110,2025-09-28,107.51,130.09,Redelivery,Pending
FI-00089,UPS Ground,SH-50111,2025-12-10,259.84,270.23,Reweigh,Disputed
FI-00090,FedEx Ground,SH-50113,2025-12-13,222.55,235.9,Liftgate,Approved
FI-00091,Customer Pickup,SH-50114,2025-08-09,152.41,163.08,Residential,Disputed
FI-00092,Customer Pickup,SH-50115,2026-02-15,269.0,293.21,Redelivery,Approved
FI-00093,Company Truck,SH-50116,2026-02-26,86.17,91.34,Liftgate,Disputed
FI-00094,Customer Pickup,SH-50117,2026-02-26,154.76,157.86,Liftgate,Approved
FI-00095,LTL - Estes,SH-50118,2026-02-12,130.36,151.22,,Approved
FI-00096,Company Truck,SH-50119,2026-01-07,86.93,105.19,Reweigh,Pending
FI-00097,FedEx Ground,SH-50120,2025-08-25,645.7,761.93,Liftgate,Approved
FI-00098,Customer Pickup,SH-50121,2025-11-09,243.34,279.84,Redelivery,Disputed
FI-00099,Customer Pickup,SH-50123,2025-08-12,208.48,218.9,Reweigh,Approved
FI-00100,UPS Ground,SH-50126,2025-08-16,392.44,408.14,Residential,Approved
FI-00101,LTL - Estes,SH-50127,2025-05-03,80.29,86.71,Redelivery,Pending
FI-00102,Customer Pickup,SH-50128,2026-02-01,123.01,121.78,,Approved
FI-00103,LTL - XPO,SH-50129,2025-10-24,204.44,235.11,Liftgate,Approved
FI-00104,UPS Ground,SH-50130,2025-07-08,110.49,131.48,Residential,Disputed
FI-00105,UPS Ground,SH-50131,2025-09-04,295.75,313.5,Residential,Approved
FI-00106,FedEx Ground,SH-50132,2025-06-11,254.84,282.87,,Pending
FI-00107,LTL - Estes,SH-50134,2026-01-14,139.76,164.92,,Disputed
FI-00108,LTL - XPO,SH-50135,2025-10-14,429.14,484.93,Residential,Approved
FI-00109,FedEx Ground,SH-50136,2025-10-02,133.67,161.74,,Disputed
FI-00110,Customer Pickup,SH-50137,2026-02-11,322.88,364.85,Liftgate,Approved
FI-00111,LTL - XPO,SH-50139,2025-08-14,93.69,101.19,,Pending
FI-00112,LTL - Estes,SH-50141,2025-08-30,103.48,119.0,Reweigh,Disputed
FI-00113,UPS Ground,SH-50142,2026-01-09,178.32,203.28,,Approved
FI-00114,LTL - Estes,SH-50143,2025-11-07,230.82,260.83,Liftgate,Approved
FI-00115,UPS Ground,SH-50145,2025-05-30,136.49,151.5,Reweigh,Approved
FI-00116,LTL - XPO,SH-50146,2025-06-21,279.25,282.04,,Disputed
FI-00117,UPS Ground,SH-50150,2025-11-08,213.05,249.27,Liftgate,Approved
FI-00118,FedEx Ground,SH-50151,2026-02-18,207.51,219.96,,Disputed
FI-00119,LTL - XPO,SH-50152,2025-08-12,240.48,240.48,Liftgate,Approved
FI-00120,UPS Ground,SH-50153,2026-04-13,124.18,139.08,Liftgate,Approved
FI-00121,Customer Pickup,SH-50154,2025-12-30,353.38,367.52,,Disputed
FI-00122,LTL - Estes,SH-50155,2025-08-17,275.34,278.09,,Approved
FI-00123,LTL - Estes,SH-50156,2025-07-15,187.22,194.71,,Pending
FI-00124,FedEx Ground,SH-50157,2026-03-01,119.18,145.4,,Pending
FI-00125,UPS Ground,SH-50159,2026-04-08,329.44,375.56,Reweigh,Approved
FI-00126,FedEx Ground,SH-50160,2025-10-04,173.07,174.8,Reweigh,Pending
FI-00127,Company Truck,SH-50162,2025-09-09,221.41,230.27,Residential,Approved
FI-00128,Customer Pickup,SH-50163,2026-04-12,162.95,184.13,,Pending
FI-00129,UPS Ground,SH-50164,2025-10-03,216.16,255.07,Reweigh,Pending
FI-00130,FedEx Ground,SH-50165,2026-02-24,76.64,91.97,,Approved
FI-00131,Customer Pickup,SH-50166,2025-12-02,146.86,177.7,,Approved
FI-00132,UPS Ground,SH-50167,2025-08-06,356.44,395.65,,Disputed
FI-00133,LTL - Estes,SH-50168,2025-10-09,165.47,175.4,Liftgate,Pending
FI-00134,Customer Pickup,SH-50169,2025-05-01,87.85,97.51,Redelivery,Approved
FI-00135,LTL - Estes,SH-50171,2025-10-28,275.84,336.52,,Approved
FI-00136,Customer Pickup,SH-50173,2025-08-21,75.38,73.87,Redelivery,Disputed
FI-00137,LTL - Estes,SH-50174,2026-02-23,193.31,191.38,Liftgate,Disputed
FI-00138,UPS Ground,SH-50175,2026-01-04,359.21,377.17,Residential,Approved
FI-00139,Customer Pickup,SH-50176,2026-03-25,156.82,159.96,,Approved
FI-00140,UPS Ground,SH-50177,2025-04-28,211.96,211.96,Reweigh,Disputed
FI-00141,Customer Pickup,SH-50179,2026-03-20,202.09,220.28,,Disputed
FI-00142,UPS Ground,SH-50180,2025-11-02,146.19,165.19,Liftgate,Disputed
FI-00143,LTL - Estes,SH-50182,2025-12-04,92.81,92.81,,Pending
FI-00144,UPS Ground,SH-50183,2025-12-21,131.11,157.33,Liftgate,Approved
FI-00145,UPS Ground,SH-50184,2025-12-26,98.44,114.19,Reweigh,Approved
FI-00146,FedEx Ground,SH-50186,2025-10-05,134.98,164.68,,Approved
FI-00147,LTL - Estes,SH-50187,2025-08-29,317.34,355.42,Redelivery,Pending
FI-00148,FedEx Ground,SH-50188,2025-05-19,132.79,131.46,,Approved
FI-00149,Company Truck,SH-50189,2025-09-03,94.24,106.49,Reweigh,Disputed
FI-00150,Customer Pickup,SH-50190,2026-03-21,181.43,208.64,,Approved
FI-00151,Company Truck,SH-50192,2026-01-03,87.77,100.06,Reweigh,Approved
FI-00152,Company Truck,SH-50193,2025-08-02,221.16,258.76,Liftgate,Pending
FI-00153,Customer Pickup,SH-50194,2025-06-30,92.81,95.59,Reweigh,Approved
FI-00154,Customer Pickup,SH-50197,2026-02-13,110.03,130.94,Residential,Pending
FI-00155,Customer Pickup,SH-50198,2026-01-12,342.96,342.96,Residential,Disputed
FI-00156,LTL - XPO,SH-50199,2025-07-09,314.86,365.24,,Approved
FI-00157,LTL - XPO,SH-50200,2025-12-04,177.52,189.95,Redelivery,Disputed
FI-00158,Customer Pickup,SH-50201,2025-10-03,345.48,407.67,Liftgate,Approved
FI-00159,UPS Ground,SH-50202,2026-01-22,164.04,188.65,Reweigh,Pending
FI-00160,LTL - XPO,SH-50203,2025-11-12,124.77,145.98,Residential,Pending
FI-00161,FedEx Ground,SH-50204,2026-04-03,183.74,209.46,,Disputed
FI-00162,Customer Pickup,SH-50205,2026-03-21,312.01,352.57,Liftgate,Disputed
FI-00163,UPS Ground,SH-50206,2025-08-11,218.98,247.45,Redelivery,Approved
FI-00164,Customer Pickup,SH-50207,2026-02-05,104.02,115.46,,Disputed
FI-00165,Customer Pickup,SH-50208,2025-12-26,152.53,178.46,Reweigh,Approved
FI-00166,FedEx Ground,SH-50209,2025-06-03,184.28,199.02,,Disputed
FI-00167,Customer Pickup,SH-50210,2025-07-21,432.59,441.24,,Pending
FI-00168,Customer Pickup,SH-50211,2026-01-10,185.75,204.33,Liftgate,Approved
FI-00169,UPS Ground,SH-50213,2025-10-13,129.89,148.07,Residential,Approved
FI-00170,UPS Ground,SH-50214,2025-11-19,172.19,180.8,Reweigh,Approved
FI-00171,Company Truck,SH-50215,2025-11-25,109.52,127.04,Residential,Disputed
FI-00172,Company Truck,SH-50216,2025-11-06,327.34,343.71,Residential,Pending
FI-00173,LTL - XPO,SH-50217,2026-01-13,253.92,289.47,Residential,Approved
FI-00174,LTL - Estes,SH-50218,2026-02-05,254.17,274.5,Residential,Approved
FI-00175,Customer Pickup,SH-50219,2025-07-28,304.61,353.35,,Disputed
FI-00176,LTL - XPO,SH-50222,2025-08-25,97.18,97.18,Residential,Pending
FI-00177,Company Truck,SH-50224,2025-09-29,127.16,151.32,Liftgate,Approved
FI-00178,FedEx Ground,SH-50225,2025-11-13,416.21,495.29,Liftgate,Approved
FI-00179,UPS Ground,SH-50227,2025-07-27,228.38,267.2,,Approved
FI-00180,UPS Ground,SH-50230,2025-09-20,81.47,93.69,,Pending
FI-00181,UPS Ground,SH-50231,2025-10-08,121.2,118.78,Reweigh,Disputed
FI-00182,UPS Ground,SH-50232,2025-06-12,152.07,180.96,Reweigh,Disputed
FI-00183,FedEx Ground,SH-50233,2026-01-10,77.86,88.76,Residential,Pending
FI-00184,FedEx Ground,SH-50234,2025-10-09,105.24,106.29,Residential,Approved
FI-00185,LTL - XPO,SH-50235,2025-06-05,175.09,189.1,Liftgate,Approved
FI-00186,UPS Ground,SH-50236,2025-06-05,99.32,111.24,Reweigh,Approved
FI-00187,UPS Ground,SH-50237,2025-09-11,156.31,161.0,Redelivery,Pending
FI-00188,Customer Pickup,SH-50239,2025-05-06,177.94,201.07,,Approved
FI-00189,UPS Ground,SH-50240,2025-05-18,147.87,164.14,Residential,Approved
FI-00190,UPS Ground,SH-50241,2025-12-11,81.64,97.15,Liftgate,Approved
FI-00191,Company Truck,SH-50243,2026-03-04,409.24,446.07,,Approved
FI-00192,Company Truck,SH-50244,2025-09-23,114.77,127.39,Reweigh,Approved
FI-00193,UPS Ground,SH-50245,2025-11-03,84.58,101.5,Redelivery,Pending
FI-00194,Company Truck,SH-50246,2025-06-03,117.76,127.18,Reweigh,Approved
FI-00195,LTL - Estes,SH-50247,2026-01-03,187.1,202.07,,Approved
FI-00196,LTL - XPO,SH-50250,2025-12-02,133.46,149.48,Residential,Pending
FI-00197,FedEx Ground,SH-50251,2025-12-29,215.07,255.93,Liftgate,Disputed
FI-00198,LTL - Estes,SH-50252,2026-02-23,132.08,146.61,,Approved
FI-00199,LTL - Estes,SH-50254,2025-05-14,98.86,100.84,Redelivery,Approved
FI-00200,Company Truck,SH-50255,2025-12-31,271.98,280.14,,Approved
FI-00201,Customer Pickup,SH-50256,2026-01-15,311.63,327.21,Liftgate,Approved
FI-00202,FedEx Ground,SH-50257,2025-11-22,113.72,135.33,,Approved
FI-00203,Customer Pickup,SH-50258,2026-02-06,119.56,144.67,,Pending
FI-00204,Customer Pickup,SH-50259,2025-08-24,202.76,239.26,Reweigh,Disputed
FI-00205,FedEx Ground,SH-50261,2025-12-20,368.58,405.44,,Pending
FI-00206,Customer Pickup,SH-50262,2026-03-18,104.99,108.14,,Approved
FI-00207,FedEx Ground,SH-50264,2025-12-13,226.87,260.9,,Disputed
FI-00208,LTL - XPO,SH-50265,2025-09-15,100.07,101.07,Reweigh,Approved
FI-00209,UPS Ground,SH-50266,2026-02-07,230.27,264.81,Reweigh,Disputed
FI-00210,Customer Pickup,SH-50267,2025-12-02,123.68,134.81,Reweigh,Approved
FI-00211,LTL - XPO,SH-50268,2025-09-05,221.5,261.37,Residential,Disputed
FI-00212,Customer Pickup,SH-50269,2026-02-11,142.79,154.21,Residential,Approved
FI-00213,Customer Pickup,SH-50270,2025-05-16,142.24,165.0,Liftgate,Approved
FI-00214,Customer Pickup,SH-50271,2025-10-27,336.28,336.28,,Disputed
FI-00215,LTL - XPO,SH-50272,2025-07-26,315.07,340.28,,Pending
FI-00216,Customer Pickup,SH-50274,2026-02-04,122.92,137.67,Liftgate,Approved
FI-00217,LTL - Estes,SH-50276,2025-07-24,212.0,224.72,Reweigh,Disputed
FI-00218,Company Truck,SH-50279,2026-03-15,273.49,322.72,,Disputed
FI-00219,LTL - XPO,SH-50280,2025-06-15,118.51,120.88,Residential,Approved
FI-00220,LTL - XPO,SH-50281,2025-06-04,109.31,112.59,Liftgate,Approved
FI-00221,Customer Pickup,SH-50282,2025-09-13,83.61,90.3,Residential,Disputed
FI-00222,UPS Ground,SH-50283,2025-05-06,75.88,91.81,,Disputed
FI-00223,Customer Pickup,SH-50284,2025-07-15,148.92,157.86,,Disputed
FI-00224,LTL - Estes,SH-50285,2026-01-27,153.08,166.86,Redelivery,Approved
FI-00225,LTL - Estes,SH-50286,2025-07-14,408.35,408.35,Reweigh,Approved
FI-00226,Company Truck,SH-50287,2025-10-11,108.64,118.42,,Pending
FI-00227,LTL - Estes,SH-50290,2025-12-03,215.36,221.82,,Disputed
FI-00228,LTL - XPO,SH-50291,2025-08-02,261.73,306.22,Redelivery,Pending
FI-00229,FedEx Ground,SH-50292,2025-08-31,87.35,92.59,Liftgate,Disputed
FI-00230,Customer Pickup,SH-50293,2025-07-23,259.63,316.75,Residential,Pending
FI-00231,Company Truck,SH-50294,2026-03-30,173.62,185.77,Reweigh,Disputed
FI-00232,Company Truck,SH-50295,2025-09-21,404.45,432.76,,Approved
FI-00233,Company Truck,SH-50296,2025-07-31,235.4,282.48,Redelivery,Approved
FI-00234,UPS Ground,SH-50297,2025-12-24,77.18,87.99,Redelivery,Pending
FI-00235,LTL - XPO,SH-50298,2025-11-12,236.32,255.23,Residential,Approved
FI-00236,Customer Pickup,SH-50299,2025-05-20,285.76,340.05,Liftgate,Approved
FI-00237,FedEx Ground,SH-50300,2026-04-09,120.57,142.27,,Approved
FI-00238,LTL - Estes,SH-50301,2025-09-18,131.95,147.78,Liftgate,Approved
FI-00239,Company Truck,SH-50303,2025-10-09,162.74,188.78,,Approved
FI-00240,Company Truck,SH-50304,2025-08-26,225.07,234.07,Redelivery,Approved
FI-00241,UPS Ground,SH-50306,2025-11-09,108.39,120.31,Reweigh,Pending
FI-00242,FedEx Ground,SH-50307,2025-09-09,108.47,121.49,Redelivery,Approved
FI-00243,LTL - Estes,SH-50308,2026-04-05,156.4,184.55,Redelivery,Pending
FI-00244,UPS Ground,SH-50309,2025-06-18,172.27,177.44,,Approved
FI-00245,LTL - XPO,SH-50311,2025-05-28,154.8,187.31,Reweigh,Disputed
FI-00246,Customer Pickup,SH-50313,2025-07-07,152.95,168.25,,Approved
FI-00247,UPS Ground,SH-50314,2026-03-23,177.94,199.29,Residential,Disputed
FI-00248,UPS Ground,SH-50315,2026-02-16,269.92,321.2,Liftgate,Disputed
FI-00249,LTL - XPO,SH-50316,2025-09-07,411.71,448.76,,Pending
FI-00250,FedEx Ground,SH-50317,2025-09-19,164.8,179.63,,Approved
FI-00251,Company Truck,SH-50318,2025-06-21,239.09,282.13,Liftgate,Disputed
FI-00252,UPS Ground,SH-50319,2025-07-08,339.81,363.6,,Approved
FI-00253,UPS Ground,SH-50321,2025-12-07,194.78,229.84,,Approved
FI-00254,Customer Pickup,SH-50322,2026-01-13,342.33,345.75,Redelivery,Disputed
FI-00255,Company Truck,SH-50323,2026-04-03,198.02,200.0,Redelivery,Pending
FI-00256,Customer Pickup,SH-50325,2026-04-05,222.04,250.91,,Approved
FI-00257,UPS Ground,SH-50327,2025-11-25,100.12,119.14,Redelivery,Disputed
FI-00258,LTL - Estes,SH-50328,2026-03-25,86.0,91.16,Reweigh,Disputed
FI-00259,Customer Pickup,SH-50329,2025-06-24,149.93,170.92,,Approved
FI-00260,LTL - XPO,SH-50330,2025-10-27,278.78,320.6,Reweigh,Approved
FI-00261,Customer Pickup,SH-50331,2025-05-07,83.02,97.13,,Approved
FI-00262,UPS Ground,SH-50332,2025-10-22,153.12,173.03,Redelivery,Approved
FI-00263,Customer Pickup,SH-50334,2025-10-21,219.65,237.22,Residential,Approved
FI-00264,FedEx Ground,SH-50335,2025-04-26,226.62,231.15,,Pending
FI-00265,LTL - Estes,SH-50337,2025-06-12,222.67,218.22,,Pending
FI-00266,UPS Ground,SH-50338,2025-05-19,391.93,466.4,,Disputed
FI-00267,UPS Ground,SH-50339,2025-11-12,263.5,316.2,Liftgate,Approved
FI-00268,LTL - Estes,SH-50343,2026-02-08,277.19,335.4,Residential,Approved
FI-00269,LTL - XPO,SH-50344,2025-07-11,77.02,93.19,Redelivery,Approved
FI-00270,Company Truck,SH-50346,2025-08-05,139.81,160.78,Redelivery,Approved
FI-00271,Customer Pickup,SH-50347,2025-11-09,442.29,499.79,,Approved
FI-00272,Customer Pickup,SH-50348,2026-04-02,83.02,94.64,Reweigh,Pending
FI-00273,FedEx Ground,SH-50349,2025-06-19,204.32,208.41,Liftgate,Approved
FI-00274,Customer Pickup,SH-50350,2025-12-08,200.71,228.81,,Pending
FI-00275,LTL - Estes,SH-50351,2026-03-03,170.13,192.25,Redelivery,Approved
FI-00276,FedEx Ground,SH-50352,2025-06-28,376.22,413.84,,Disputed
FI-00277,Customer Pickup,SH-50353,2025-08-20,105.03,116.58,Residential,Approved
FI-00278,Company Truck,SH-50355,2026-03-07,142.66,171.19,Redelivery,Disputed
FI-00279,UPS Ground,SH-50357,2026-02-17,81.38,80.57,Reweigh,Disputed
FI-00280,UPS Ground,SH-50359,2026-04-07,171.1,191.63,,Approved
FI-00281,FedEx Ground,SH-50361,2025-12-12,215.45,260.69,Liftgate,Approved
FI-00282,UPS Ground,SH-50362,2026-02-27,188.36,201.55,,Disputed
FI-00283,UPS Ground,SH-50363,2025-12-17,224.73,238.21,Redelivery,Disputed
FI-00284,LTL - Estes,SH-50364,2026-01-01,185.46,211.42,,Approved
FI-00285,UPS Ground,SH-50365,2025-08-22,402.52,410.57,,Disputed
FI-00286,UPS Ground,SH-50367,2025-11-11,92.05,92.97,Liftgate,Pending
FI-00287,LTL - XPO,SH-50368,2025-10-29,103.01,110.22,,Approved
FI-00288,LTL - XPO,SH-50369,2026-02-27,175.63,201.97,Reweigh,Disputed
FI-00289,Customer Pickup,SH-50370,2025-10-10,201.63,235.91,,Approved
FI-00290,UPS Ground,SH-50371,2025-08-01,343.88,405.78,Liftgate,Disputed
FI-00291,Customer Pickup,SH-50372,2026-02-06,221.54,221.54,Residential,Pending
FI-00292,UPS Ground,SH-50373,2026-03-04,288.7,320.46,,Disputed
FI-00293,FedEx Ground,SH-50374,2025-12-09,198.9,200.89,,Pending
FI-00294,Company Truck,SH-50375,2025-11-17,289.12,329.6,Redelivery,Disputed
FI-00295,UPS Ground,SH-50376,2025-05-20,172.65,184.74,Reweigh,Disputed
FI-00296,UPS Ground,SH-50377,2025-10-06,186.22,197.39,Redelivery,Disputed
FI-00297,Customer Pickup,SH-50378,2025-11-07,137.92,153.09,Reweigh,Disputed
FI-00298,Company Truck,SH-50379,2026-02-23,116.54,130.52,Residential,Pending
FI-00299,LTL - XPO,SH-50380,2025-11-24,234.14,248.19,Residential,Approved
FI-00300,FedEx Ground,SH-50381,2025-05-17,351.11,414.31,Residential,Pending
FI-00301,FedEx Ground,SH-50382,2025-11-26,313.48,341.69,Reweigh,Disputed
FI-00302,LTL - Estes,SH-50384,2025-12-21,493.24,557.36,Redelivery,Approved
FI-00303,LTL - XPO,SH-50385,2026-02-10,390.46,409.98,Liftgate,Approved
FI-00304,FedEx Ground,SH-50387,2026-04-03,145.73,170.5,Redelivery,Pending
FI-00305,UPS Ground,SH-50388,2025-10-21,217.88,226.6,,Disputed
FI-00306,Customer Pickup,SH-50389,2025-07-03,209.11,221.66,,Approved
FI-00307,LTL - XPO,SH-50390,2025-07-21,221.62,254.86,,Disputed
FI-00308,UPS Ground,SH-50391,2025-09-19,140.73,154.8,,Approved
