Vendor,Item,Description,Qty,UOM,Price,Date,Ext Price
Johnson Control Services LLC,MOTOR-COND-1/4HP,Condenser fan motor 1/4 HP 208-230V,18,each,149.00,5/13/26,2682.00
W.W. Grainger,MOTOR-COND-1/4HP,Condenser fan motor 1/4 HP 208-230V,18,each,149.00,12/28/25,2682.00
Ferguson Enterprises,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,19,each,24.60,3/30/26,467.40
Johnstone Supply Boston,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,18,each,24.60,5/3/26,442.80
Johnson Control Services LLC,CAP-45-5-440,Dual run capacitor 45/5 MFD 440V,6,each,13.20,3/9/26,79.20
W.W. Grainger,REF-R410A-25,"R-410A refrigerant, 25 lb cylinder",6,cylinder,158.00,3/16/26,948.00
Ferguson Enterprises,MOTOR-COND-1/4HP,Condenser fan motor 1/4 HP 208-230V,24,each,149.00,1/2/26,3576.00
Johnstone Supply Boston,LINESET-3/8-3/4-50,"Copper line set 3/8 x 3/4, 50 ft",1,each,96.00,2/27/26,96.00
Johnson Control Services LLC,TSTAT-PRO-T6,"Programmable thermostat, Pro T6",5,each,118.00,4/4/26,590.00
W.W. Grainger,LINESET-3/8-3/4-50,"Copper line set 3/8 x 3/4, 50 ft",7,each,96.00,1/22/26,672.00
Ferguson Enterprises,REF-R410A-25,"R-410A refrigerant, 25 lb cylinder",2,cylinder,158.00,2/13/26,316.00
Johnstone Supply Boston,LINESET-3/8-3/4-50,"Copper line set 3/8 x 3/4, 50 ft",17,each,96.00,8/3/26,1632.00
Johnson Control Services LLC,CAP-45-5-440,Dual run capacitor 45/5 MFD 440V,5,each,13.20,12/30/25,66.00
W.W. Grainger,FIL-MERV13-20X25,"Pleated air filter MERV 13, 20x25x1 (case of 12)",5,case,10.10,5/22/26,50.50
Ferguson Enterprises,CAP-45-5-440,Dual run capacitor 45/5 MFD 440V,1,each,13.20,8/23/26,13.20
Johnstone Supply Boston,LINESET-3/8-3/4-50,"Copper line set 3/8 x 3/4, 50 ft",1,each,96.00,8/3/26,96.00
Johnson Control Services LLC,TSTAT-PRO-T6,"Programmable thermostat, Pro T6",15,each,118.00,12/3/25,1770.00
W.W. Grainger,CAP-45-5-440,Dual run capacitor 45/5 MFD 440V,19,each,13.20,3/13/26,250.80
Ferguson Enterprises,FIL-MERV13-20X25,"Pleated air filter MERV 13, 20x25x1 (case of 12)",2,case,10.10,3/22/26,20.20
Johnstone Supply Boston,FIL-MERV13-20X25,"Pleated air filter MERV 13, 20x25x1 (case of 12)",7,case,10.10,4/19/26,70.70
Johnson Control Services LLC,CAP-45-5-440,Dual run capacitor 45/5 MFD 440V,15,each,13.20,8/23/26,198.00
W.W. Grainger,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,5,each,24.60,8/5/26,123.00
Ferguson Enterprises,FIL-MERV13-20X25,"Pleated air filter MERV 13, 20x25x1 (case of 12)",7,case,10.10,8/11/26,70.70
Johnstone Supply Boston,MOTOR-COND-1/4HP,Condenser fan motor 1/4 HP 208-230V,20,each,149.00,4/17/26,2980.00
Johnson Control Services LLC,MOTOR-COND-1/4HP,Condenser fan motor 1/4 HP 208-230V,11,each,149.00,5/8/26,1639.00
W.W. Grainger,MOTOR-COND-1/4HP,Condenser fan motor 1/4 HP 208-230V,15,each,149.00,10/14/25,2235.00
Ferguson Enterprises,MOTOR-COND-1/4HP,Condenser fan motor 1/4 HP 208-230V,8,each,149.00,6/20/26,1192.00
Johnstone Supply Boston,FIL-MERV13-20X25,"Pleated air filter MERV 13, 20x25x1 (case of 12)",3,case,10.10,1/14/26,30.30
Johnson Control Services LLC,CAP-45-5-440,Dual run capacitor 45/5 MFD 440V,23,each,13.20,1/12/26,303.60
W.W. Grainger,TSTAT-PRO-T6,"Programmable thermostat, Pro T6",3,each,118.00,3/20/26,354.00
Ferguson Enterprises,LINESET-3/8-3/4-50,"Copper line set 3/8 x 3/4, 50 ft",12,each,96.00,5/16/26,1152.00
Johnstone Supply Boston,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,5,each,24.60,1/14/26,123.00
Johnson Control Services LLC,MOTOR-COND-1/4HP,Condenser fan motor 1/4 HP 208-230V,14,each,149.00,2/1/26,2086.00
W.W. Grainger,LINESET-3/8-3/4-50,"Copper line set 3/8 x 3/4, 50 ft",2,each,96.00,7/29/26,192.00
Ferguson Enterprises,REF-R410A-25,"R-410A refrigerant, 25 lb cylinder",1,cylinder,158.00,3/13/26,158.00
Johnstone Supply Boston,MOTOR-COND-1/4HP,Condenser fan motor 1/4 HP 208-230V,7,each,149.00,5/5/26,1043.00
Johnson Control Services LLC,CAP-45-5-440,Dual run capacitor 45/5 MFD 440V,9,each,13.20,7/4/26,118.80
W.W. Grainger,MOTOR-COND-1/4HP,Condenser fan motor 1/4 HP 208-230V,14,each,149.00,3/28/26,2086.00
Ferguson Enterprises,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,7,each,24.60,10/28/25,172.20
Johnstone Supply Boston,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,8,each,24.60,1/20/26,196.80
Johnson Control Services LLC,MOTOR-COND-1/4HP,Condenser fan motor 1/4 HP 208-230V,19,each,149.00,6/2/26,2831.00
W.W. Grainger,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,21,each,24.60,3/24/26,516.60
Ferguson Enterprises,LINESET-3/8-3/4-50,"Copper line set 3/8 x 3/4, 50 ft",10,each,96.00,5/30/26,960.00
Johnstone Supply Boston,TSTAT-PRO-T6,"Programmable thermostat, Pro T6",15,each,118.00,3/30/26,1770.00
Johnson Control Services LLC,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,4,each,24.60,6/6/26,98.40
W.W. Grainger,LINESET-3/8-3/4-50,"Copper line set 3/8 x 3/4, 50 ft",8,each,96.00,7/17/26,768.00
Ferguson Enterprises,REF-R410A-25,"R-410A refrigerant, 25 lb cylinder",7,cylinder,158.00,8/27/26,1106.00
Johnstone Supply Boston,MOTOR-COND-1/4HP,Condenser fan motor 1/4 HP 208-230V,18,each,149.00,5/10/26,2682.00
Johnson Control Services LLC,MOTOR-COND-1/4HP,Condenser fan motor 1/4 HP 208-230V,20,each,149.00,7/13/26,2980.00
W.W. Grainger,CAP-45-5-440,Dual run capacitor 45/5 MFD 440V,10,each,13.20,6/5/26,132.00
Ferguson Enterprises,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,15,each,24.60,5/4/26,369.00
Johnstone Supply Boston,TSTAT-PRO-T6,"Programmable thermostat, Pro T6",11,each,118.00,1/1/26,1298.00
Johnson Control Services LLC,TSTAT-PRO-T6,"Programmable thermostat, Pro T6",8,each,118.00,11/15/25,944.00
W.W. Grainger,REF-R410A-25,"R-410A refrigerant, 25 lb cylinder",6,cylinder,158.00,11/21/25,948.00
Ferguson Enterprises,TSTAT-PRO-T6,"Programmable thermostat, Pro T6",4,each,118.00,9/11/26,472.00
Johnstone Supply Boston,CAP-45-5-440,Dual run capacitor 45/5 MFD 440V,5,each,13.20,7/17/26,66.00
Johnson Control Services LLC,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,19,each,24.60,11/1/25,467.40
W.W. Grainger,TSTAT-PRO-T6,"Programmable thermostat, Pro T6",13,each,118.00,8/6/26,1534.00
Ferguson Enterprises,CAP-45-5-440,Dual run capacitor 45/5 MFD 440V,19,each,13.20,4/4/26,250.80
Johnstone Supply Boston,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,24,each,24.60,10/22/25,590.40
Johnson Control Services LLC,TSTAT-PRO-T6,"Programmable thermostat, Pro T6",13,each,118.00,12/13/25,1534.00
W.W. Grainger,MOTOR-COND-1/4HP,Condenser fan motor 1/4 HP 208-230V,13,each,149.00,10/4/25,1937.00
Ferguson Enterprises,LINESET-3/8-3/4-50,"Copper line set 3/8 x 3/4, 50 ft",9,each,96.00,6/8/26,864.00
Johnstone Supply Boston,REF-R410A-25,"R-410A refrigerant, 25 lb cylinder",7,cylinder,158.00,11/14/25,1106.00
Johnson Control Services LLC,MOTOR-COND-1/4HP,Condenser fan motor 1/4 HP 208-230V,21,each,149.00,2/5/26,3129.00
W.W. Grainger,LINESET-3/8-3/4-50,"Copper line set 3/8 x 3/4, 50 ft",20,each,96.00,7/11/26,1920.00
Ferguson Enterprises,FIL-MERV13-20X25,"Pleated air filter MERV 13, 20x25x1 (case of 12)",6,case,10.10,11/5/25,60.60
Johnstone Supply Boston,TSTAT-PRO-T6,"Programmable thermostat, Pro T6",14,each,118.00,4/25/26,1652.00
Johnson Control Services LLC,REF-R410A-25,"R-410A refrigerant, 25 lb cylinder",3,cylinder,158.00,12/16/25,474.00
W.W. Grainger,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,5,each,24.60,11/11/25,123.00
Ferguson Enterprises,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,5,each,24.60,4/30/26,123.00
Johnstone Supply Boston,MOTOR-COND-1/4HP,Condenser fan motor 1/4 HP 208-230V,12,each,149.00,6/15/26,1788.00
Johnson Control Services LLC,TSTAT-PRO-T6,"Programmable thermostat, Pro T6",4,each,118.00,1/13/26,472.00
W.W. Grainger,LINESET-3/8-3/4-50,"Copper line set 3/8 x 3/4, 50 ft",7,each,96.00,11/8/25,672.00
Ferguson Enterprises,TSTAT-PRO-T6,"Programmable thermostat, Pro T6",12,each,118.00,12/21/25,1416.00
Johnstone Supply Boston,LINESET-3/8-3/4-50,"Copper line set 3/8 x 3/4, 50 ft",21,each,96.00,12/16/25,2016.00
Johnson Control Services LLC,CAP-45-5-440,Dual run capacitor 45/5 MFD 440V,1,each,13.20,2/4/26,13.20
W.W. Grainger,MOTOR-COND-1/4HP,Condenser fan motor 1/4 HP 208-230V,11,each,149.00,8/25/26,1639.00
Ferguson Enterprises,TSTAT-PRO-T6,"Programmable thermostat, Pro T6",15,each,118.00,7/15/26,1770.00
Johnstone Supply Boston,MOTOR-COND-1/4HP,Condenser fan motor 1/4 HP 208-230V,6,each,149.00,6/5/26,894.00
Johnson Control Services LLC,FIL-MERV13-20X25,"Pleated air filter MERV 13, 20x25x1 (case of 12)",5,case,10.10,11/21/25,50.50
W.W. Grainger,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,12,each,24.60,12/12/25,295.20
Ferguson Enterprises,MOTOR-COND-1/4HP,Condenser fan motor 1/4 HP 208-230V,8,each,149.00,11/30/25,1192.00
Johnstone Supply Boston,FIL-MERV13-20X25,"Pleated air filter MERV 13, 20x25x1 (case of 12)",4,case,10.10,6/16/26,40.40
Johnson Control Services LLC,MOTOR-COND-1/4HP,Condenser fan motor 1/4 HP 208-230V,24,each,149.00,5/9/26,3576.00
W.W. Grainger,TSTAT-PRO-T6,"Programmable thermostat, Pro T6",3,each,118.00,5/17/26,354.00
Ferguson Enterprises,CAP-45-5-440,Dual run capacitor 45/5 MFD 440V,2,each,13.20,11/16/25,26.40
Johnstone Supply Boston,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,12,each,24.60,1/2/26,295.20
Johnson Control Services LLC,TSTAT-PRO-T6,"Programmable thermostat, Pro T6",11,each,118.00,8/3/26,1298.00
W.W. Grainger,FIL-MERV13-20X25,"Pleated air filter MERV 13, 20x25x1 (case of 12)",3,case,10.10,1/5/26,30.30
Ferguson Enterprises,LINESET-3/8-3/4-50,"Copper line set 3/8 x 3/4, 50 ft",18,each,96.00,9/7/26,1728.00
Johnstone Supply Boston,FIL-MERV13-20X25,"Pleated air filter MERV 13, 20x25x1 (case of 12)",3,case,10.10,11/26/25,30.30
Johnson Control Services LLC,CAP-45-5-440,Dual run capacitor 45/5 MFD 440V,23,each,13.20,6/5/26,303.60
W.W. Grainger,CAP-45-5-440,Dual run capacitor 45/5 MFD 440V,9,each,13.20,6/23/26,118.80
Ferguson Enterprises,FIL-MERV13-20X25,"Pleated air filter MERV 13, 20x25x1 (case of 12)",2,case,10.10,8/6/26,20.20
Johnstone Supply Boston,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,11,each,24.60,6/11/26,270.60
Johnson Control Services LLC,CONT-2P-40A,Definite purpose contactor 2-pole 40A 24V,19,each,24.60,10/15/25,467.40
W.W. Grainger,TSTAT-PRO-T6,"Programmable thermostat, Pro T6",4,each,118.00,7/5/26,472.00
