Client Id,Client Name,Dba Name,Fein,Naics Code,Industry,Annual Revenue,Employee Count,Billing Street,Billing City,Billing State,Billing Zip,Producer Id,Producer Name,Account Manager Id,Account Manager Name,Client Since,Status,Lines Of Business,Source
HAR-C0011,Lakeshore Electric Inc.,,79-5573690,238220 ,Contractors - HVAC/Plumbing,15400000,80,5667 Union St,Orlando,FL,32849,E003,Matthew Choi,E013,Sarah King,2021-04-10,Active,"GL,WC,AUTO,UMB",Association
HAR-C0012,Pioneer Community Services Inc.,,36-4750264,624190,Nonprofit - Social Services,56400000,312,6675 Union St,Tampa,FL,33670,E002,Nancy Scott,E010,Nancy Fitzgerald,2024-02-10,Active,"GL,PL,DO,WC",Referral
HAR-C0013,Granite Properties Inc.,,61-8482483,531120,Real Estate - Lessors of Commercial Buildings,59400000,325,3554 Technology Way,Tampa,FL,33696,E004,Priya Martinez,E013,Sarah King,2011-03-21,Active,"PROP,GL,UMB",Web
HAR-C0014,Highland Manufacturing Corp.,,31-6038187,326199,Manufacturing - Plastics,61200000,412,244 Elm St,Orlando,FL,32827,E005,Priya Garcia,E011,Sandra White,2019-04-30,Active,"PROP,GL,WC",Walk-in
HAR-C0015,Heritage Manufacturing Inc.,,75-5558994,332312,Manufacturing - Fabricated Metal,68000000,412,2981 Industrial Pkwy ,Tampa,FL,33618,E005,Priya Garcia,E010,Nancy Fitzgerald,2022-12-09,Active,"PROP,GL,WC,AUTO,UMB",Cold Outreach
HAR-C0016,Summit Electric Inc.,,13-9949396,236220,Contractors - General Building,2800000,17,2372 Union St ,Tampa,FL,33677,E003,Matthew Choi,E007,Ashley Wilson,2024-12-10,Active,"GL,WC,AUTO,UMB,PROP",Cold Outreach
HAR-C0017,Summit Hotels LP,,59-8256048,721110,Hospitality - Hotels,10700000,71,2878 Lincoln Ave,Orlando,FL,32843,E004,Priya Martinez,E010,Nancy Fitzgerald,2012-01-04,Active,"PROP,GL,WC,UMB",BOR
HAR-C0018,Northgate Automotive Co.,,60-5863186,811111,Auto Repair,14300000,125,3279 Lincoln Ave ,Orlando,FL,32816 ,E004,Priya Martinez,E009,Matthew Jones,2010-08-23,Active,"GL,PROP,WC",Association
HAR-C0019,Beacon Associates LLC,,80-6711765,541211,Professional Services - Accounting,51700000,239,6925 Commerce Blvd,Orlando,FL,32886,E005,Priya Garcia,E006,Elena Jackson,2022-11-17,Active,"PL,CYB,BOP",Referral
HAR-C0020,Beacon Medical Group Inc.,,78-7985773,621498,Healthcare - Outpatient Clinic,5500000,48,8898 Main St,Jacksonville,FL,32279,E003,Matthew Choi,E012,Patricia Thomas,2019-07-19,Active,"PL,GL,PROP,CYB,WC",Referral
HAR-C0021,Beacon Marine LLC,,47-9431049,336612,Marine - Boat Repair & Fabrication,10100000,67,3714 Oak Ave,Orlando,FL,32891,E001,Betty Rodriguez,E010,Nancy Fitzgerald,2022-07-02,Active,"GL,PROP,WC,AUTO",Walk-in
HAR-C0022,Blue Ridge Medical Group LLC,,38-4575820,621498,Healthcare - Outpatient Clinic,10100000,103,3211 Commerce Blvd,Tampa,FL,33634,E004,Priya Martinez,E007,Ashley Wilson,2019-05-08,Active,"PL,GL,PROP,CYB,WC",Walk-in
HAR-C0023,Coastal Community Services LP,,45-7587299,624190,Nonprofit - Social Services,38700000,276,7067 Park Pl,Jacksonville,FL,32296,E005,Priya Garcia,E009,Matthew Jones,2017-11-08,Active,"GL,PL,DO,WC",Web
HAR-C0024,Beacon Electric LLC,,76-8191456,238210,Contractors - Electrical,80100000,374,9104 Main St,Tampa,FL,33649,E005,Priya Garcia,E008,Jessica Schneider,2013-03-17,Active,"GL,WC,AUTO,UMB",BOR
HAR-C0025,Heritage Automotive LP,,98-6759019,811111,Auto Repair,8100000,38,307 Washington St,Tampa,FL,33698,E004,Priya Martinez,E009 ,Matthew Jones,2012-01-03,Active,"GL,PROP,WC",Association
HAR-C0026,Valley Hardware Inc.,,75-7526413,444130,Retail - Hardware Store,65300000,356,399 Technology Way,Tampa,FL,33686,E001,Betty Rodriguez,E008,Jessica Schneider,2021-09-05,Active,"BOP,WC",Association
HAR-C0027,Lakeshore Software Corp.,,81-9178773,541511,Technology - Software,13900000,70,1319 Union St,Orlando,FL,32843,E004,Priya Martinez,E011,Sandra White,2020-12-28,Active,"CYB,PL,GL,DO",BOR
HAR-C0028,Sterling Transport LLC,,76-2323793,484121,Trucking - General Freight,14800000,156,5153 Maple Dr,Orlando,FL,32847,E004,Priya Martinez,E010,Nancy Fitzgerald,2009-10-28,Active,"AUTO,GL,WC,UMB",Web
HAR-C0029,Tri-State Supply Inc.,,22-3032219,423840,Wholesale - Industrial Supplies,59200000,339,95 Enterprise Ct,Jacksonville,FL,32263,E005,Priya Garcia,E007,Ashley Wilson,2012-06-25,Active,"PROP,GL,AUTO,WC",Referral
HAR-C0030,Anchor Electric Co.,,33-2027302,238220,Contractors - HVAC/Plumbing,20400000,210,3207 Commerce Blvd,Jacksonville,FL,32211,E004,Priya Martinez,E009,Matthew Jones,2009-05-30,Active,"GL,WC,AUTO,UMB",BOR
