Item Id,Warehouse,Planning Method,Reorder Point,Reorder Qty,Safety Stock,Lead Time Days,Abc Class,Last Reviewed
TIMI-1032,MAIN,ROP,2,161,0,20,A,2025-11-06
AC-1033,MAIN,Min/Max,35,142,11,35,B,2025-02-28
MOUN-1034,MAIN,ROP,52,35,17,25,C,2024-09-15
SHEA-1035,MAIN,Min/Max,27,193,9,43,B,2024-07-31
SHEA-1037,MAIN,Min/Max,51,130,17,25,B,2024-07-31
SHEA-1038,MAIN,ROP,60,101,20,33,C,2026-02-13
AC-1040,MAIN,ROP,53,171,17,30,B,2024-06-11
SPRO-1041,MAIN,Min/Max,27,135,9,33,C,2024-12-07
ROLL-1044,MAIN,ROP,2,136,0,40,C,2026-01-19
SHEA-1045,MAIN,Min/Max,37,169,12,32,B,2024-12-13
SPRO-1047,MAIN,Min/Max,40,162,13,33,C ,2025-04-09
AC-1048,MAIN,Min/Max,22,24,7,42,A,2026-02-20
SHEA-1049,MAIN,Min/Max,59,191,19,5,B,2024-10-23
SPRO-1050,MAIN,Min/Max,10,53,3,18,B,2026-01-13
ROLL-1053,MAIN,Min/Max,22,109,7,33,A,2025-11-10
AC-1054 ,MAIN,ROP,3,168,1,6,C,2025-07-03
SPRO-1055,MAIN,Min/Max,60,38,20,11,B,2025-03-28
TIMI-1056,MAIN,ROP,30,15,10,12,B,2024-10-09
AC-1057,MAIN,Min/Max,19,81,6,45,B,2025-10-22
TIMI-1058,MAIN,ROP,28,166,9,43,C,2025-07-13
GEAR-1060,MAIN,Min/Max,2,176,0,38,C,2025-04-28
SPRO-1061,MAIN,ROP,31,163,10,27,C,2025-03-25
MOUN-1062,MAIN,ROP,45,97,15,6,B,2025-12-25
AC-1063,MAIN,Min/Max,41,199,13,23,A,2025-10-21
SHEA-1064,MAIN,Min/Max,15,23,5,5,B,2025-03-03
GEAR-1066,MAIN,ROP,52,157,17,41,C ,2025-12-26
GEAR-1067,MAIN,ROP,34,151,11,37,A,2025-12-16
SHEA-1068,MAIN,Min/Max,2,105,0,25,B,2025-03-28
SPRO-1069,MAIN,Min/Max,22,141,7,39,A,2024-09-30
SPRO-1070,MAIN,Min/Max,18,144,6,33,C,2026-03-18
TIMI-1071,MAIN,Min/Max,48,136,16,17,C,2026-02-08 
SHEA-1072,MAIN,ROP,49,11,16,19,B,2025-04-24
GEAR-1073,MAIN,Min/Max,46,77,15,20,C,2025-10-10
AC-1074,MAIN,Min/Max ,4,130,1,23,B,2026-01-12
TIMI-1075,MAIN,Min/Max,58,41,19,42,B,2025-03-15
SPRO-1076,MAIN,Min/Max,56,141,18,39,C,2024-12-22
SHEA-1077,MAIN,Min/Max,19,28,6,6,A,2025-09-03
SPRO-1078,MAIN,ROP,38,13,12,17,C,2025-07-29
ROLL-1079,MAIN,Min/Max,13,24,4,36,C,2025-02-06
GEAR-1080,MAIN,Min/Max ,4,179,1,13,C,2025-10-07 
MOUN-1081,MAIN,ROP,7,130,2,33,B,2025-11-17
SHEA-1082,MAIN,Min/Max,31,35,10,20,B,2025-07-03
MOUN-1083,MAIN,ROP,2,138,0,30,B,2024-08-11
GEAR-1084,MAIN,ROP,25,195,8,6,C,2024-11-10
AC-1085,MAIN,ROP,19,61,6,45,B,2025-06-14
AC-1086,MAIN,ROP,9,147,3,6,C,2025-12-02
SPRO-1087,MAIN,ROP,46,167,15,31,C,2026-03-25
SHEA-1088,MAIN,Min/Max,51,91,17,29,B,2024-09-30
