certificate_request_id,client_id,gl_policy_id,certificate_holder,requested_date,requested_by,project_description,required_gl_each_occurrence,required_umbrella_limit,additional_insured_required,waiver_of_subrogation_required,primary_noncontributory_required,status,issued_date,handled_by,turnaround_hours,exception_note
MER-CERT0050,MER-C0020,MER-P00066,Walmart Inc.,2025-12-30,Phone,Annual vendor compliance,2000000,0,Y,N,Y,Issued,2025-12-30,E018,14,
MER-CERT0051,MER-C0022,MER-P00073,State DOT,2025-12-18,Phone,Site work - Phase 2,2000000,5000000,N,N,Y,Exception - limits not supported,,E021,69,"Holder requires $5,000,000 umbrella; account carries $0."
MER-CERT0052,MER-C0021,MER-P00070,Amazon.com Services LLC,2025-11-03,Phone,Service contract 2026,1000000,2000000,N,Y,N,Exception - limits not supported,,E015,25,"Holder requires $2,000,000 umbrella; account carries $0."
MER-CERT0053,MER-C0020,MER-P00066,Kiewit Corporation,2025-12-31,Client email,Site work - Phase 2,1000000,0,Y,N,Y,Issued,2025-12-31,E018,11,
MER-CERT0054,MER-C0013,MER-P00044,Amazon.com Services LLC,2025-10-26,Holder direct,Site work - Phase 2,2000000,5000000,Y,Y,Y,Exception - limits not supported,,E014,47,"Holder requires $5,000,000 umbrella; account carries $0."
MER-CERT0055,MER-C0001,MER-P00001,JLL Property Management,2026-02-06,Phone,Annual vendor compliance,1000000,5000000,Y,N,Y,Exception - limits not supported,,E011,70,"Holder requires $5,000,000 umbrella; account carries $2,000,000."
MER-CERT0056,MER-C0011,MER-P00038,Kiewit Corporation,2025-10-29,Holder direct,Tenant improvement - Suite 200,1000000,2000000,Y,Y,Y,Exception - limits not supported,,E014,1,"Holder requires $2,000,000 umbrella; account carries $0."
MER-CERT0057,MER-C0020,MER-P00066,"Prologis, L.P.",2025-12-14,Client portal,Service contract 2026,1000000,0,Y,Y,N,Issued,2025-12-17,E018,30,
MER-CERT0058,MER-C0022,MER-P00073,"Home Depot U.S.A., Inc.",2025-12-27,Phone,Bid requirement,1000000,0,N,N,N,Issued,2025-12-28,E021,10,
MER-CERT0059,MER-C0008,MER-P00025,Amazon.com Services LLC,2026-02-17,Holder direct,Site work - Phase 2,1000000,1000000,Y,N,N,Exception - limits not supported,,E016,67,"Holder requires $1,000,000 umbrella; account carries $0."
MER-CERT0060,MER-C0022,MER-P00073,City of Hartford,2026-01-08,Holder direct,Site work - Phase 2,2000000,5000000,Y,N,N,Exception - limits not supported,,E021,47,"Holder requires $5,000,000 umbrella; account carries $0."
MER-CERT0061,MER-C0001,MER-P00001,Turner Construction Company,2026-03-29,Holder direct,Hartford HealthCare Tower - structural steel package,2000000,5000000,Y,Y,Y,Exception - limits not supported,,E011,,"Holder contract requires $5,000,000 umbrella; in-force umbrella is $3,000,000."
