Item Id,Description,Item Class,Manufacturer,Manufacturer Part Number,Stock Uom,Pack Qty,Purchase Uom,Primary Supplier,Unit Cost,List Price,Abc Class,Reorder Point,Reorder Qty,Lead Time Days,Make Or Buy,Weight Lb,Hts Code,Country Of Origin,Status,Item Revision
CONV-1013,Conveyor Drive Package 1.500,FG,Keystone,,EA,1,EA,,2336.18,4415.38,B,20,185,19,Make,53.05,,US,Active,B
TIMI-1014 ,Timing Belt 1.000,RESALE,Applied Industrial Technologies,R36113,EA,1,EA,Motion Industries,49.480000000000004,84.12,B,55,189,40,Buy,81.2,8482.10.5068,MX,Active,
SPRO-1015,Sprocket 3/8-16,RESALE,Parker Hannifin,C11163,EA,1,EA,Applied Industrial Technologies,74.58,104.41,A,35,160,42,Buy,12.85,,TW,Active,
GEAR-1016,Gear Reducer size 6,RESALE,McMaster-Carr,R82188,EA,1,EA,Kaman Industrial Technologies,2265.26,3375.24,B,44,122,30,Buy,35.55,,US,Active,
TIMI-1017,Timing Belt size 6,RESALE,Kaman Industrial Technologies,E16570,EA,1,EA,Haas Automation,50.69,75.02,B,35,173,42,Buy,60.6,,MX,Active,
MOUN-1018,Mounted Ball Bearing Unit M8,RESALE,MSC Industrial Supply,C66831,EA,1,EA,Regal Rexnord,109.13,193.16,B,11,95,31,Buy,35.8,,MX,Active,
SHEA-1019,Sheave / Pulley M8,RESALE,Brighton-Best International,H65670,EA,1,EA,Alro Steel,94.5,174.83,B,9,52,16,Buy,44.55,,US,Active,
TIMI-1020,Timing Belt 5/16-18,RESALE,Apex Fastener Corp,F27518,EA,1,EA,Alro Steel,52.03,77.0,A,59,163,8,Buy,54.1,,DE,Active,
ROLL-1021,Roller Chain ANSI 5/16-18,RESALE,Alro Steel,H58619,EA,1,EA,Kaman Industrial Technologies,81.74,154.49,A,4,101,20,Buy,54.95,,CN,Active,
CONV-1022,Conveyor Drive Package 1.375,FG,Keystone,,EA,1,EA,,2154.05,2929.51,C,35,88,26,Make,21.85,,US,Active,B
CONV-1023,Conveyor Drive Package 3/4-10 ,FG,Keystone,,EA,1,EA,,3652.15,6500.83,C,44,52,18,Make,65.6,7318.15.2095,US ,Active,A
GEAR-1024,Gear Reducer 2.000,RESALE,Garlock Sealing Technologies,F76499,EA,1,EA,Kaman Industrial Technologies,687.25,1216.43,B,58,50,6,Buy,58.85,8482.10.5068,TW,Obsolete,
SHEA-1025,Sheave / Pulley size 4,RESALE,McMaster-Carr,B27918,EA,1,EA,Apex Fastener Corp,153.95000000000002,264.79,C,24,186,23,Buy,60.35,7318.15.2095,US,Active,
ROLL-1026,Roller Chain ANSI #50,RESALE,MSC Industrial Supply,F48926,EA,1,EA,Apex Fastener Corp,129.92000000000002,237.75,A,13,39,39,Buy,75.95,,US,Active,
SPRO-1027,Sprocket 1/4-20,RESALE,Baldor-Reliance (ABB),K15825,EA,1,EA,Sandvik Coromant ,77.98,102.15,C,57,183,16,Buy,78.8,8483.30.8090,IT,Active,
SHEA-1028,Sheave / Pulley #80,RESALE,Sandvik Coromant,H32923,EA,1,EA,McMaster-Carr,284.6,526.51,A,55,44,39,Buy,73.4,,US,Active,
MOUN-1029,Mounted Ball Bearing Unit 1.500,RESALE,Regal Rexnord,R78423,EA,1,EA,Haas Automation,86.28,144.09,C,8,103,26,Buy,76.55,7318.15.2095,TW,Active,
TIMI-1030,Timing Belt 1/2-13,RESALE,Applied Industrial Technologies,K11331,EA,1,EA,Parker Hannifin,66.14,111.12,C,60,137,22,Buy,81.4,,DE,Active,
MOUN-1031,Mounted Ball Bearing Unit 1.500,RESALE,Brighton-Best International,L96395,EA,1,EA,Applied Industrial Technologies,38.78,58.56,C,51,153,19,Buy,79.05,8482.10.5068,US,Active,
TIMI-1032,Timing Belt size 6 ,RESALE,Applied Industrial Technologies,M51589,EA,1,EA,Applied Industrial Technologies,32.99,54.1,A,2,161,20,Buy,82.05,8483.40.5010,IT,Active,
AC-1033,AC Motor TEFC 3/4-10,RESALE,Alro Steel,L32810,EA,1,EA,Baldor-Reliance (ABB),1093.27,1443.12,B,35,142,35,Buy,16.1,,US,Active,
MOUN-1034,Mounted Ball Bearing Unit M12,RESALE,MSC Industrial Supply,P68115,EA,1,EA,Regal Rexnord,23.82,45.02,C,52,35,25,Buy,7.25,,CN,Active ,
SHEA-1035,Sheave / Pulley 1.000,RESALE,Ryerson,D8005,EA,1,EA,Kaman Industrial Technologies,148.52,207.93,B,27,193,43,Buy,78.25,,MX,Active,
GEAR-1036,Gear Reducer 3/8-16,RESALE,Alro Steel,F79447,EA,1,EA,Applied Industrial Technologies,1151.41,1853.77,C,35,38,6,Buy,89.9,,DE,Obsolete,
SHEA-1037 ,Sheave / Pulley 1.375,RESALE,Uline,R78752,EA,1,EA,Sandvik Coromant,99.06,171.37,B,51,130,25,Buy,57.5,8482.10.5068,DE,Active,
SHEA-1038,Sheave / Pulley 2.000,RESALE,Baldor-Reliance (ABB),K77998,EA,1,EA,Brighton-Best International,295.28000000000003,507.88,C,60,101,33,Buy,56.8,,DE,Active,
CONV-1039,Conveyor Drive Package 5/8-11,FG,Keystone,,EA,1,EA,,7046.72,9654.01,C,57,116,22,Make,38.55,8483.40.5010,US,Active,B
AC-1040,AC Motor TEFC #50,RESALE,Apex Fastener Corp,L98065,EA,1,EA,McMaster-Carr,609.44,889.78,B,53,171,30,Buy,42.45,,IT,Active,
SPRO-1041,Sprocket M6,RESALE,Fastenal,R97964,EA,1,EA,Uline,35.35,64.34,C,27,135,33,Buy,6.65,,CN,Active,
CONV-1042,Conveyor Drive Package 2.000,FG,Keystone,,EA,1,EA,,5159.58,7636.18,B,25,69,24,Make,53.0,,US,Active,B 
CONV-1043,Conveyor Drive Package 1.375,FG,Keystone,,EA,1,EA,,1971.53,2760.14,C,58,33,20,Make,9.35,,US,Active,C
ROLL-1044,Roller Chain ANSI #80,RESALE,Uline,A27272,EA,1,EA,Haas Automation,140.68,254.63,C,2,136,40,Buy,74.4,8483.40.5010,US,Active,
SHEA-1045,Sheave / Pulley M10,RESALE,Apex Fastener Corp,L49521,EA,1,EA,Brighton-Best International,47.68,71.52,B,37,169,32,Buy,6.4,8483.40.5010,US,Active,
CONV-1046,Conveyor Drive Package 1/4-20 ,FG,Keystone,,EA,1,EA,,7311.89,10309.76,B,36,164,27,Make,73.9,,US,Active,A
SPRO-1047,Sprocket #80,RESALE,Apex Fastener Corp,M59631,EA,1,EA,Ryerson,13.77,23.55,C,40,162,33,Buy,52.6,,CN,Active,
AC-1048,AC Motor TEFC M6,RESALE,Alro Steel,F82120,EA,1,EA,Brighton-Best International,1745.47,2530.93,A,22,24,42,Buy,8.55,,DE,Active,
SHEA-1049,Sheave / Pulley size 4,RESALE,Parker Hannifin,G91354,EA,1,EA,Garlock Sealing Technologies,153.4,277.65,B,59,191,5,Buy,68.65,8483.30.8090,CN,Active,
SPRO-1050,Sprocket 5/16-18,RESALE,Motion Industries,K95916,EA ,1,EA,Baldor-Reliance (ABB),12.85,17.99,B,10,53,18,Buy,17.35,8483.60.8000,TW,Active,
CONV-1051,Conveyor Drive Package 1/4-20,FG,Keystone,,EA,1,EA,,4147.58,6138.42,C,12,83,23,Make,13.4,,US,Active,B
CONV-1052,Conveyor Drive Package size 4,FG,Keystone,,EA,1,EA,,2311.6,4045.3,C,22,130,20,Make,60.05,,US ,Active,C
ROLL-1053,Roller Chain ANSI #80,RESALE,Sandvik Coromant,F87862,EA,1,EA,Uline,86.10000000000001,136.04,A,22,109,33,Buy,17.35,7318.15.2095,CN,Active,
AC-1054,AC Motor TEFC 1.500,RESALE ,Sandvik Coromant,N27474,EA,1,EA,Fastenal,1828.58,2688.01,C,3,168,6,Buy,18.85,8483.30.8090,DE,Active,
SPRO-1055,Sprocket #50,RESALE,Apex Fastener Corp,P93505,EA,1,EA,Ryerson,26.94,39.06,B,60,38,11,Buy,88.5,,US,Active,
TIMI-1056,Timing Belt 5/16-18,RESALE,Regal Rexnord,M71128,EA,1,EA,Regal Rexnord,17.21,27.88,B,30,15,12,Buy,69.15,,US,Active,
AC-1057,AC Motor TEFC M10 ,RESALE,Garlock Sealing Technologies,C68489,EA,1,EA,Regal Rexnord,687.08,1174.91,B,19,81,45,Buy,80.2,,US,Active,
TIMI-1058,Timing Belt M6,RESALE,Haas Automation,A87444,EA,1,EA ,Motion Industries,84.45,134.28,C,28,166,43,Buy,83.0,8482.10.5068,DE,Active ,
CONV-1059,Conveyor Drive Package 1/4-20,FG,Keystone,,EA,1,EA,,3693.63,5540.44,B,32,26,20,Make,31.25,,US,Active,A
GEAR-1060,Gear Reducer #60,RESALE,Applied Industrial Technologies,R96029,EA,1,EA,Alro Steel,3102.4300000000003,4932.86,C,2,176,38,Buy,65.95,,CN,Active,
SPRO-1061,Sprocket #50,RESALE,Fastenal,R9463,EA,1,EA,Regal Rexnord,87.28,121.32,C,31,163,27,Buy,12.7,,CN,Active,
MOUN-1062,Mounted Ball Bearing Unit 1/2-13,RESALE,Sandvik Coromant,D59850,EA,1,EA,Alro Steel,135.75,221.27,B,45,97,6,Buy,63.5,8482.10.5068,US,Active,
AC-1063,AC Motor TEFC 3/4-10,RESALE,MSC Industrial Supply,G44462,EA,1,EA,Brighton-Best International,1677.24,2247.5,A,41,199,23,Buy,23.05,,US,Active,
SHEA-1064,Sheave / Pulley M12,RESALE,Fastenal,P15027,EA,1,EA,MSC Industrial Supply,139.88,228.0,B,15,23,5,Buy,17.0,,DE,Active,
CONV-1065,Conveyor Drive Package #80,FG,Keystone,,EA,1,EA,,2903.56,4790.87,B,55,121,15,Make,49.4,,US,Active,C
GEAR-1066,Gear Reducer 1.000,RESALE,Parker Hannifin,K84844,EA,1,EA,Fastenal,1270.02,1765.33,C,52,157,41,Buy,67.0,,TW,Active,
GEAR-1067,Gear Reducer M6,RESALE,Garlock Sealing Technologies,P63847,EA,1,EA,Alro Steel,498.09000000000003,702.31,A,34,151,37,Buy,35.5,,MX,Active,
SHEA-1068,Sheave / Pulley 1/4-20,RESALE,Garlock Sealing Technologies,E90491,EA,1,EA,Garlock Sealing Technologies,180.78,305.52,B,2,105,25,Buy,82.55,,US,Active,
SPRO-1069,Sprocket #50,RESALE,Fastenal,C66132,EA,1,EA,Fastenal,115.11,202.59,A,22,141,39,Buy,29.0,8483.40.5010,TW,Active,
SPRO-1070,Sprocket M12,RESALE,Apex Fastener Corp,L78251,EA,1,EA,Ryerson,22.96,40.18,C,18,144,33,Buy,74.75,,CN,Active,
TIMI-1071,Timing Belt 5/8-11,RESALE,Haas Automation,P52377,EA,1,EA,McMaster-Carr,74.85000000000001,119.01,C,48,136,17,Buy,40.5,,IT,Active,
SHEA-1072,Sheave / Pulley 3/8-16,RESALE,Garlock Sealing Technologies ,N55674,EA,1,EA,MSC Industrial Supply,101.96000000000001,148.86,B,49,11,19,Buy,46.85,8483.30.8090,DE,Active,
GEAR-1073,Gear Reducer 5/16-18,RESALE,McMaster-Carr,P40743,EA,1,EA,Brighton-Best International,1938.75,2927.51,C,46,77,20,Buy ,72.35,7318.15.2095,DE,Active,
AC-1074,AC Motor TEFC M8,RESALE,McMaster-Carr,D7447,EA,1,EA,Applied Industrial Technologies,1663.14,2760.81,B,4,130,23,Buy,79.8,8482.10.5068,DE,Active,
TIMI-1075,Timing Belt 1.000,RESALE,Uline,T28498,EA,1,EA,Fastenal,72.76,106.96,B,58,41,42,Buy,20.9,7318.15.2095,CN,Active,
SPRO-1076,Sprocket 5/16-18,RESALE,Haas Automation,N9963,EA,1,EA,Applied Industrial Technologies,13.24,19.07,C,56,141,39,Buy,39.3,8483.60.8000,US,Active,
SHEA-1077,Sheave / Pulley #60,RESALE,Motion Industries,K94269 ,EA,1,EA,Haas Automation,67.98,120.32,A,19,28,6,Buy,83.0,,US,Active,
SPRO-1078,Sprocket M6,RESALE,McMaster-Carr,B96961,EA,1,EA,Uline,69.25,123.96,C,38,13,17,Buy,74.7,,IT,Active,
ROLL-1079,Roller Chain ANSI M8,RESALE,Sandvik Coromant,N86806,EA,1,EA,Alro Steel ,102.65,169.37,C ,13,24,36,Buy,6.1,8482.10.5068,TW,Active,
GEAR-1080,Gear Reducer #60,RESALE,Motion Industries,R61870,EA,1,EA,Parker Hannifin,1484.33,2553.05,C,4,179,13,Buy,0.1,,MX,Active,
MOUN-1081,Mounted Ball Bearing Unit 5/8-11,RESALE,Apex Fastener Corp,E43749,EA,1,EA,Garlock Sealing Technologies,61.24,83.29,B,7,130,33,Buy,12.25,,IT,Active,
SHEA-1082,Sheave / Pulley 1/4-20,RESALE,Haas Automation,A16600,EA,1,EA,Brighton-Best International,186.61,317.24,B,31,35,20,Buy ,48.9,8482.10.5068,IT,Active,
MOUN-1083,Mounted Ball Bearing Unit size 8,RESALE,Haas Automation,C68772,EA,1,EA,Apex Fastener Corp,87.77,138.68,B,2,138,30,Buy,66.1,,US,Active,
GEAR-1084,Gear Reducer M6,RESALE,Haas Automation,R68710,EA,1,EA,Applied Industrial Technologies,3456.0,5909.76,C,25,195,6,Buy,16.95,,IT,Active,
AC-1085,AC Motor TEFC M6,RESALE,Uline,D78797,EA,1,EA,Uline,365.76,534.01,B,19,61,45,Buy,78.4,,MX,Active,
AC-1086,AC Motor TEFC 5/16-18,RESALE,Parker Hannifin,F31580,EA,1,EA,Uline,2390.86,3992.74,C,9,147,6,Buy,60.7,,CN,Active,
SPRO-1087,Sprocket 1/2-13,RESALE,Garlock Sealing Technologies,N14465,EA,1,EA,Apex Fastener Corp,44.550000000000004,65.04,C,46,167,31,Buy,9.15,,US,Active,
SHEA-1088,Sheave / Pulley 1/4-20,RESALE,Regal Rexnord,L25703,EA,1,EA,Sandvik Coromant,189.79,301.77,B,51,91,29,Buy,76.05,,US,Active,
CONV-1089,Conveyor Drive Package #60,FG,Keystone,,EA,1,EA,,5864.59,7799.9,B,45,111,23,Make,72.2,,US,Active,B
