Ship To Id,Customer Id,Name,Street,City,State,Zip,Dock Hours,Appointment Required
KBD-CUST0023-S1,KBD-CUST0023,Keystone Plastics Inc. - Plant 4,2601 Front St,Dayton,OH,45457,07:00-15:30,N
KBD-CUST0023-S2,KBD-CUST0023,Keystone Plastics Inc. - Warehouse 11,8822 Oak Ave,Dayton,OH,45450,07:00-15:30,Y
KBD-CUST0024-S1,KBD-CUST0024,Tennessee Valley Plastics Inc. - Plant 5,3782 Lincoln Ave,Dayton,OH,45412,07:00-15:30,N
KBD-CUST0025-S1,KBD-CUST0025,Great Lakes Climate Inc. - Plant 6,3956 Maple Dr,Scranton,PA,18556,07:00-15:30,N
KBD-CUST0026-S1,KBD-CUST0026 ,Pioneer Plastics LLC - Plant 4,398 Market St,Allentown,PA,18119,07:00-15:30,N
KBD-CUST0026-S2,KBD-CUST0026,Pioneer Plastics LLC - Warehouse 6,3899 Market St ,Allentown,PA,18182,07:00-15:30,N
KBD-CUST0027-S1,KBD-CUST0027,Appalachian Packaging Systems Co. - Plant 8,7392 Commerce Blvd,Allentown,PA,18188,07:00-15:30,N
KBD-CUST0028-S1,KBD-CUST0028,Piedmont Poultry Inc. - Plant 9,5997 Main St,Albany,NY,12234,07:00-15:30,N
KBD-CUST0028-S2,KBD-CUST0028,Piedmont Poultry Inc. - Warehouse 8,176 Main St,Harrisburg,PA,17153,07:00-15:30,N
KBD-CUST0029-S1,KBD-CUST0029,Iron City Plastics Corp. - Plant 4,5879 River Rd,Albany,NY,12275,07:00-15:30,Y
KBD-CUST0030-S1,KBD-CUST0030,Fox River Climate Inc. - Plant 6,6597 Union St,Albany,NY,12241,07:00-15:30,N
KBD-CUST0031-S1,KBD-CUST0031,Iron City Materials Co. - Plant 11,562 Commerce Blvd,Allentown,PA,18125,07:00-15:30,N
KBD-CUST0032-S1,KBD-CUST0032,Susquehanna Packaging Systems Co. - Plant 10,9884 Front St,Dayton,OH,45497,07:00-15:30,N
KBD-CUST0004-S1,KBD-CUST0004,"Cardinal Foods Group - Plant 12 - Hazleton, PA",6768 Union St,Allentown,PA,18178,06:00-14:00,Y
