item_id,description,item_class,manufacturer,manufacturer_part_number,stock_uom,pack_qty,purchase_uom,primary_supplier,unit_cost,list_price,abc_class,reorder_point,reorder_qty,lead_time_days,make_or_buy,weight_lb,hts_code,country_of_origin,status,item_revision
P-20028,Coupling Hub - Raw Casting 1/4-20,COMP,Apex Fastener Corp,D12726,EA,1,EA,MSC Industrial Supply,39.64,74.52,C,6,26,17,Buy,19.75,,US,Active,
P-20029,Set Screw 5/8-11,COMP,Haas Automation,K45261,EA,1,EA,Uline,0.71,1.23,C,49,22,40,Buy,25.5,,TW,Active,
A-20030,Shaft Coupling M8,FG,Northfield,,EA,1,EA,,176.98,272.55,C,44,75,18,Make,64.3,8483.40.5010,US,Active,A
A-20031,Shaft Coupling M10,FG,Northfield,,EA,1,EA,,128.84,235.78,A,38,161,10,Make,76.5,7318.15.2095,US,Active,A
P-20032,Coupling Hub - Raw Casting size 8,COMP,McMaster-Carr,K32105,EA,1,EA,Garlock Sealing Technologies,48.19,80.0,B,46,189,10,Buy,7.95,8482.10.5068,US,Active,
A-20033,Shaft Coupling 2.000,FG,Northfield,,EA,1,EA,,328.62,535.65,B,8,108,16,Make,58.85,8483.30.8090,US,Active,C
A-20034,Shaft Coupling M10,FG,Northfield,,EA,1,EA,,111.33,155.86,B,9,92,26,Make,89.2,8483.40.5010,US,Active,B
P-20035,Elastomer Insert M10,COMP,MSC Industrial Supply,N45563,EA,1,EA,MSC Industrial Supply,12.200000000000001,16.35,C,12,79,36,Buy,44.65,8483.30.8090,TW,Active,
A-20036,Gearbox Sub-Assembly M10,FG,Northfield,,EA,1,EA,,2945.65,4123.91,B,5,133,18,Make,77.4,8483.30.8090,US,Active,A
P-20037,Carbide Insert size 8,MRO,Motion Industries,N28851,EA,1,EA,Fastenal,12.19,16.33,C,56,189,11,Buy,63.85,,DE,Active,
A-20038,Gearbox Sub-Assembly #80,FG,Northfield,,EA,1,EA,,1997.97,3136.81,B,5,13,13,Make,64.7,8482.10.5068,US,Active,C
A-20039,Shaft Coupling 1.000,FG,Northfield,,EA,1,EA,,415.87,686.19,B,7,150,24,Make,72.4,8482.10.5068,US,Active,B
A-20040,Machined Housing #60,FG,Northfield,,EA,1,EA,,210.93,314.29,B,6,30,23,Make,25.95,,US,Active,C
P-20041,Oil Seal 1.250,COMP,Sandvik Coromant,K55040,EA,1,EA,Baldor-Reliance (ABB),13.870000000000001,23.3,A,14,11,30,Buy,79.6,8483.40.5010,MX,Active,
P-20042,Coupling Hub - Raw Casting M8,COMP,Baldor-Reliance (ABB),P2915,EA,1,EA,Parker Hannifin,49.72,81.54,C,20,97,14,Buy,67.6,8483.40.5010,IT,Active,
A-20043,Gearbox Sub-Assembly 1.000,FG,Northfield,,EA,1,EA,,1336.88,2312.8,B,6,63,21,Make,54.85,8483.40.5010,US,Active,C
P-20044,Coupling Hub - Raw Casting 3/4-10,COMP,Applied Industrial Technologies,C11115,EA,1,EA,MSC Industrial Supply,25.1,47.44,B,3,194,38,Buy,59.25,8482.10.5068,IT,Active,
P-20045,Set Screw M10,COMP,Baldor-Reliance (ABB),S44671,EA,1,EA,Fastenal,0.18,0.31,C,52,82,17,Buy,44.15,8483.30.8090,CN,Active,
P-20046,Elastomer Insert 1.000,COMP,Brighton-Best International,S28044,EA,1,EA,Applied Industrial Technologies,13.76,21.33,C,55,109,43,Buy,85.05,8483.30.8090,IT,Active,
P-20047,Carbide Insert 1/4-20,MRO,Baldor-Reliance (ABB),M82610,EA,1,EA,Baldor-Reliance (ABB),15.41,23.58,A,17,175,39,Buy,15.45,8482.10.5068,MX,Active,
P-20048,Coupling Hub - Raw Casting 5/8-11,COMP,Applied Industrial Technologies,D16222,EA,1,EA,Applied Industrial Technologies,55.620000000000005,87.32,C,21,88,21,Buy,29.1,8483.60.8000,US,Active,
P-20049,Oil Seal 3/4-10,COMP,Parker Hannifin,K67833,EA,1,EA,Apex Fastener Corp,6.0200000000000005,8.61,A,10,97,8,Buy,40.55,8483.60.8000,IT,Active,
P-20050,Oil Seal size 6,COMP,Garlock Sealing Technologies,S58621,EA,1,EA,Parker Hannifin,12.84,21.83,A,36,177,6,Buy,85.5,7318.15.2095,US,Active,
P-20051,Oil Seal size 4,COMP,Haas Automation,H85200,EA,1,EA,Fastenal,11.200000000000001,17.58,A,28,129,26,Buy,65.1,,DE,Active,
P-20052,Carbide Insert 5/16-18,MRO,Apex Fastener Corp,P45610,EA,1,EA,Applied Industrial Technologies,10.49,15.63,C,28,62,17,Buy,47.6,8482.10.5068,TW,Active,
A-20053,Machined Housing #50,FG,Northfield,,EA,1,EA,,695.65,932.17,A,34,149,24,Make,88.1,8483.60.8000,US,Active,A
P-20054,Set Screw M12,COMP,Regal Rexnord,L79607,EA,1,EA,Alro Steel,0.48,0.78,C,20,191,38,Buy,87.35,8482.10.5068,CN,Active,
P-20055,Coupling Hub - Raw Casting size 6,COMP,Ryerson,P16125,EA,1,EA,Sandvik Coromant,35.27,49.73,B,52,93,17,Buy,81.2,7318.15.2095,CN,Active,
P-20056,Set Screw 1.000,COMP,McMaster-Carr,B66059,EA,1,EA,Sandvik Coromant,0.35000000000000003,0.46,B,51,112,44,Buy,45.95,,MX,Active,
P-20057,Elastomer Insert 1.250,COMP,Sandvik Coromant,K47237,EA,1,EA,Applied Industrial Technologies,9.35,15.99,C,38,13,29,Buy,65.55,7318.15.2095,MX,Obsolete,
A-20058,Shaft Coupling size 6,FG,Northfield,,EA,1,EA,,254.75,430.53,C,24,168,26,Make,61.7,8483.30.8090,US,Active,C
P-20059,Elastomer Insert size 6,COMP,Brighton-Best International,C72126,EA,1,EA,Apex Fastener Corp,9.370000000000001,16.87,A,45,197,25,Buy,43.05,,TW,Active,
P-20060,Coupling Hub - Raw Casting M6,COMP,Ryerson,C22391,EA,1,EA,Garlock Sealing Technologies,26.88,49.73,A,9,123,16,Buy,83.5,8483.40.5010,TW,Active,
A-20061,Shaft Coupling 2.000,FG,Northfield,,EA,1,EA,,175.52,265.04,B,28,136,22,Make,2.2,8483.30.8090,US,Active,C
P-20062,Elastomer Insert 1/4-20,COMP,MSC Industrial Supply,F66231,EA,1,EA,McMaster-Carr,18.77,31.35,B,47,197,15,Buy,37.1,8483.40.5010,US,Active,
A-20063,Gearbox Sub-Assembly 5/8-11,FG,Northfield,,EA,1,EA,,1372.91,1990.72,B,21,74,14,Make,71.2,,US,Active,A
P-20064,Retaining Ring 1/4-20,COMP,Apex Fastener Corp,E60404,EA,1,EA,Fastenal,0.7000000000000001,1.06,B,58,42,14,Buy,12.65,7318.15.2095,CN,Active,
A-20065,Machined Housing M6,FG,Northfield,,EA,1,EA,,798.0,1133.16,A,46,165,17,Make,3.25,8483.60.8000,US,Active,A
P-20066,Carbide Insert #60,MRO,Fastenal,A49582,EA,1,EA,Parker Hannifin,21.400000000000002,34.03,C,4,167,5,Buy,67.9,8483.30.8090,TW,Active,
P-20067,Carbide Insert 3/4-10,MRO,Baldor-Reliance (ABB),K58173,EA,1,EA,Brighton-Best International,20.51,33.23,C,27,146,16,Buy,22.6,,MX,Active,
P-20068,Oil Seal size 6,COMP,Baldor-Reliance (ABB),H91880,EA,1,EA,Apex Fastener Corp,11.97,22.62,A,38,111,26,Buy,79.5,7318.15.2095,TW,Active,
P-20069,Oil Seal 1.375,COMP,MSC Industrial Supply,L27329,EA,1,EA,Alro Steel,4.72,6.56,A,53,73,32,Buy,0.25,8483.30.8090,DE,Active,
A-20070,Gearbox Sub-Assembly 1.000,FG,Northfield,,EA,1,EA,,1739.22,3217.56,A,2,93,14,Make,17.15,8482.10.5068,US,Active,A
P-20071,Carbide Insert size 4,MRO,MSC Industrial Supply,B60199,EA,1,EA,Garlock Sealing Technologies,10.23,16.16,B,10,171,13,Buy,1.75,8483.40.5010,US,Obsolete,
A-20072,Machined Housing 1.250,FG,Northfield,,EA,1,EA,,402.48,539.32,A,9,156,29,Make,55.3,8482.10.5068,US,Active,A
A-20073,Machined Housing 1.500,FG,Northfield,,EA,1,EA,,496.53000000000003,819.27,C,50,71,30,Make,44.7,8483.60.8000,US,Active,B
P-20074,Carbide Insert 1.250,MRO,Sandvik Coromant,H55905,EA,1,EA,Motion Industries,19.76,37.15,C,17,163,39,Buy,64.0,8482.10.5068,IT,Active,
P-20075,Carbide Insert size 8,MRO,MSC Industrial Supply,G46154,EA,1,EA,Sandvik Coromant,14.48,20.42,A,7,72,19,Buy,20.05,8482.10.5068,DE,Active,
A-20076,Gearbox Sub-Assembly 1.375,FG,Northfield,,EA,1,EA,,721.1800000000001,1334.18,B,19,175,25,Make,16.75,,US,Active,B
A-20077,Machined Housing 1.250,FG,Northfield,,EA,1,EA,,869.98,1296.27,B,56,85,24,Make,21.9,,US,Active,A
A-20078,Machined Housing 3/8-16,FG,Northfield,,EA,1,EA,,704.75,1275.6,A,11,119,11,Make,31.05,8483.40.5010,US,Active,B
P-20079,Set Screw 5/16-18,COMP,Garlock Sealing Technologies,F50061,EA,1,EA,Sandvik Coromant,0.38,0.52,B,9,66,7,Buy,82.25,8483.60.8000,CN,Active,
P-20080,Oil Seal M6,COMP,Haas Automation,B57713,EA,1,EA,Applied Industrial Technologies,11.25,15.08,B,25,20,28,Buy,76.5,8483.30.8090,IT,Active,
P-20081,Elastomer Insert 1.375,COMP,Garlock Sealing Technologies,G80581,EA,1,EA,MSC Industrial Supply,19.19,33.2,B,48,126,30,Buy,7.0,7318.15.2095,CN,Active,
A-20082,Machined Housing #60,FG,Northfield,,EA,1,EA,,841.44,1472.52,A,55,89,20,Make,85.95,,US,Active,B
P-20083,Retaining Ring 2.000,COMP,Regal Rexnord,B69475,EA,1,EA,Motion Industries,1.02,1.41,B,2,137,16,Buy,22.3,,IT,Active,
P-20084,Carbide Insert 1.000,MRO,Sandvik Coromant,E5921,EA,1,EA,Apex Fastener Corp,14.89,23.23,C,55,164,34,Buy,50.3,8483.60.8000,US,Active,
P-20085,Retaining Ring 2.000,COMP,Fastenal,F24200,EA,1,EA,MSC Industrial Supply,1.16,1.71,C,15,198,14,Buy,18.8,8483.30.8090,US,Active,
P-20086,Set Screw size 8,COMP,Brighton-Best International,F75346,EA,1,EA,Parker Hannifin,0.51,0.68,B,60,19,34,Buy,25.65,8483.30.8090,CN,Active,
A-20087,Machined Housing M12,FG,Northfield,,EA,1,EA,,333.06,619.49,B,23,115,22,Make,34.55,8483.30.8090,US,Active,A
P-20088,Oil Seal 1/2-13,COMP,Sandvik Coromant,M10634,EA,1,EA,Regal Rexnord,12.5,22.12,B,29,46,32,Buy,9.7,7318.15.2095,CN,Active,
P-20089,Carbide Insert 1.375,MRO,Uline,K6044,EA,1,EA,Baldor-Reliance (ABB),14.19,24.97,C,9,143,30,Buy,78.5,8482.10.5068,IT,Active,
A-20090,Machined Housing 1.250,FG,Northfield,,EA,1,EA,,821.3000000000001,1346.93,A,30,33,26,Make,6.4,8483.60.8000,US,Active,C
P-20091,Carbide Insert 5/16-18,MRO,Uline,D86373,EA,1,EA,Haas Automation,12.05,18.44,C,4,112,21,Buy,68.7,8483.30.8090,CN,Active,
A-20092,Gearbox Sub-Assembly 2.000,FG,Northfield,,EA,1,EA,,1915.78,2586.3,C,31,90,28,Make,75.1,,US,Active,A
A-20093,Gearbox Sub-Assembly M12,FG,Northfield,,EA,1,EA,,2017.22,3550.31,C,55,186,29,Make,82.25,8483.60.8000,US,Active,C
A-20094,Machined Housing 1.375,FG,Northfield,,EA,1,EA,,501.40000000000003,802.24,C,13,106,19,Make,5.2,,US,Obsolete,C
P-20095,Elastomer Insert 1.000,COMP,McMaster-Carr,K63060,EA,1,EA,Fastenal,24.28,34.96,B,20,160,33,Buy,68.25,8482.10.5068,US,Active,
P-20096,Carbide Insert 2.000,MRO,Alro Steel,S67464,EA,1,EA,Garlock Sealing Technologies,14.700000000000001,20.58,C,28,171,20,Buy,88.05,8483.60.8000,US,Active,
A-20097,Machined Housing #80,FG,Northfield,,EA,1,EA,,246.81,417.11,B,57,164,14,Make,68.0,8482.10.5068,US,Active,A
P-20098,Retaining Ring 5/8-11,COMP,Uline,N52552,EA,1,EA,MSC Industrial Supply,0.86,1.4,A,58,30,29,Buy,87.95,8483.60.8000,US,Active,
P-20099,Retaining Ring 1/2-13,COMP,Uline,T12602,EA,1,EA,Uline,0.77,1.12,B,34,19,37,Buy,40.5,,CN,Active,
P-20100,Coupling Hub - Raw Casting 1.500,COMP,Fastenal,M13347,EA,1,EA,Haas Automation,36.730000000000004,52.89,B,43,157,15,Buy,8.85,8483.30.8090,US,Active,
A-20101,Gearbox Sub-Assembly 5/8-11,FG,Northfield,,EA,1,EA,,2382.4,3597.42,B,44,22,22,Make,41.35,8483.30.8090,US,Active,A
P-20102,Carbide Insert 5/16-18,MRO,Fastenal,B24978,EA,1,EA,MSC Industrial Supply,16.42,28.9,B,46,149,11,Buy,0.15,8483.30.8090,IT,Obsolete,
P-20103,Carbide Insert #50,MRO,Regal Rexnord,T29412,EA,1,EA,Baldor-Reliance (ABB),17.330000000000002,31.89,B,6,116,30,Buy,21.85,8482.10.5068,US,Active,
P-20104,Elastomer Insert 1/2-13,COMP,Haas Automation,D72275,EA,1,EA,Motion Industries,29.28,54.46,A,15,157,29,Buy,85.45,8483.40.5010,US,Active,
P-20105,Coupling Hub - Raw Casting M12,COMP,Fastenal,G47425,EA,1,EA,Parker Hannifin,81.05,110.23,C,22,185,43,Buy,53.0,8483.30.8090,MX,Active,
P-20106,Coupling Hub - Raw Casting M10,COMP,Applied Industrial Technologies,L88174,EA,1,EA,Baldor-Reliance (ABB),63.36,87.44,C,38,84,39,Buy,39.65,8483.40.5010,US,Active,
A-20107,Gearbox Sub-Assembly M12,FG,Northfield,,EA,1,EA,,2631.9500000000003,3711.05,A,30,107,25,Make,64.7,8483.40.5010,US,Active,A
P-20108,Coupling Hub - Raw Casting #60,COMP,Motion Industries,K94952,EA,1,EA,Haas Automation,68.82000000000001,121.81,B,3,74,11,Buy,2.5,8482.10.5068,IT,Active,
P-20109,Oil Seal 3/8-16,COMP,Haas Automation,N10930,EA,1,EA,McMaster-Carr,9.8,16.46,B,9,149,24,Buy,3.3,8483.60.8000,IT,Active,
A-20110,Gearbox Sub-Assembly 2.000,FG,Northfield,,EA,1,EA,,2979.18,4945.44,A,23,115,26,Make,72.1,8483.60.8000,US,Active,A
P-20111,Carbide Insert size 8,MRO,Uline,A61094,EA,1,EA,Garlock Sealing Technologies,23.71,33.91,B,40,197,17,Buy,1.95,8482.10.5068,TW,Active,
P-20112,Elastomer Insert #50,COMP,Motion Industries,R79904,EA,1,EA,Parker Hannifin,26.88,50.0,B,31,161,42,Buy,83.4,8482.10.5068,US,Active,
P-20113,Coupling Hub - Raw Casting 3/4-10,COMP,Alro Steel,N70842,EA,1,EA,McMaster-Carr,35.81,61.95,B,40,162,35,Buy,35.75,8483.30.8090,US,Active,
A-20114,Shaft Coupling 3/8-16,FG,Northfield,,EA,1,EA,,244.69,442.89,B,37,168,13,Make,86.65,8483.60.8000,US,Active,C
P-20115,Elastomer Insert 5/16-18,COMP,MSC Industrial Supply,P49749,EA,1,EA,Uline,16.67,23.84,B,33,108,29,Buy,89.75,,TW,Obsolete,
P-20116,Set Screw 1.375,COMP,Baldor-Reliance (ABB),N91475,EA,1,EA,Brighton-Best International,0.1,0.15,C,5,115,36,Buy,5.0,,CN,Active,
P-20117,Elastomer Insert M8,COMP,MSC Industrial Supply,G2007,EA,1,EA,Sandvik Coromant,27.150000000000002,45.61,B,22,79,15,Buy,85.85,8483.40.5010,CN,Active,
P-20118,Oil Seal 2.000,COMP,Ryerson,T98874,EA,1,EA,Garlock Sealing Technologies,13.91,26.29,C,51,16,6,Buy,4.35,7318.15.2095,CN,Active,
P-20119,Elastomer Insert M6,COMP,Haas Automation,C38995,EA,1,EA,Brighton-Best International,8.11,11.6,B,54,13,42,Buy,5.8,8483.30.8090,IT,Active,
